municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Jammerbugt,V: Venstre,0.11318953597750774,0.12799741962057232,0.1395126206598869,0.1479152136406485,0.017143107701182037,250
Jammerbugt,M: Moderaterne,0.10928834866231432,0.060964985410968356,0.07143082167374518,0.08293951879905442,0.015961100099001976,250
Jammerbugt,Other - Right,0.10465214717368433,0.09061862171336296,0.09990199800860797,0.1085097422916563,0.013403997407886963,250
Jammerbugt,Æ: Danmarksdemokraterne,0.08633494219968511,0.09768418943273814,0.10955699239338493,0.11877177065002825,0.014873107023546493,250
Jammerbugt,I: Liberal Alliance,0.07675459302207348,0.07496056285765167,0.08224267505792317,0.09265785426770905,0.014357924172109524,250
Jammerbugt,F: SF - Socialistisk Folkeparti,0.06669767627127711,0.05605914777380628,0.06101718590524084,0.06801710150721829,0.008946933334278413,250
Jammerbugt,Other - Left,0.059208319058447,0.06349190388154306,0.06763836353602959,0.07298233722546608,0.0074651050230689865,250
Jammerbugt,Did not vote,0.042720339786333154,0.04009900296149294,0.04225752520958509,0.04454932637613788,0.0034337761459926532,250
Jammerbugt,Other,0.01588106400293421,0.0160402169457039,0.018127450935954827,0.02136149405505672,0.004624231199334935,250
Kalundborg,A: Socialdemokratiet,0.2888976230611582,0.25605063393661154,0.26788420813850644,0.2803264687641014,0.018211066565833108,250
Kalundborg,M: Moderaterne,0.11492707770068517,0.08394671897814106,0.09487067274829097,0.10917663096912968,0.018487940619939924,250
Kalundborg,V: Venstre,0.11412415315613379,0.11350643082993188,0.12441688402521661,0.1332946447641361,0.016356816213627726,250
Kalundborg,Other - Right,0.11006523948986448,0.10705411099436643,0.12077717059437068,0.12997756204332608,0.017084437846885504,250
Kalundborg,Æ: Danmarksdemokraterne,0.08720275464309732,0.07498827761595714,0.08352398032689333,0.09292727737089179,0.013780389879835672,250
Kalundborg,F: SF - Socialistisk Folkeparti,0.07666602088364827,0.07942885063947452,0.0854736281904463,0.09445047466592014,0.010627639639873825,250
Kalundborg,I: Liberal Alliance,0.06925130179937933,0.05795769052511177,0.06406113333433981,0.07355388641546387,0.01115923967428354,250
Kalundborg,Other - Left,0.06075891043127928,0.06977285405278605,0.07583285374611556,0.08081459263988362,0.008414806329789333,250
Kalundborg,Did not vote,0.05243694100338389,0.04926381655842753,0.05296696122241547,0.05685453393560977,0.005642768343224113,250
Kalundborg,Other,0.025669977831369883,0.020638311778817114,0.023144365333163514,0.026786686097693465,0.004671073498988766,250
Kerteminde,A: Socialdemokratiet,0.321483224956376,0.2968547444481269,0.3169177816059261,0.34038018282154114,0.029835627733987867,250
Kerteminde,Other - Right,0.13114890516056008,0.10377331427789059,0.11531897926510876,0.12729665973734336,0.017569664542842173,250
Kerteminde,M: Moderaterne,0.12953882180992662,0.08907698889391172,0.10086951600015712,0.11314629394004382,0.018292915527688573,250
Kerteminde,F: SF - Socialistisk Folkeparti,0.09235597882182796,0.07530917763430856,0.08246639924763888,0.08993119161177053,0.010625569746065083,250
Kerteminde,V: Venstre,0.08531443336930924,0.09178711360888944,0.0992727397401949,0.10809486005327773,0.0126293767779241,250
Kerteminde,Other - Left,0.06691952619648465,0.07120473937728329,0.07677580353838984,0.08231096806451565,0.008163457490186316,250
Kerteminde,Æ: Danmarksdemokraterne,0.05640830489306111,0.06743683917301382,0.07489534346422194,0.08333768316769306,0.012439315720146593,250
Kerteminde,I: Liberal Alliance,0.05543605195077568,0.056095403957154163,0.06223842926249185,0.06868553277350291,0.009713103372961681,250
Kerteminde,Did not vote,0.039675056926051847,0.038056479357771913,0.040066926616535915,0.04268844472983629,0.0034240098702001836,250
Kerteminde,Other,0.021719695915627224,0.022051425134489093,0.02402299202748792,0.026630165499571454,0.0038250424296962463,250
Kolding,A: Socialdemokratiet,0.23561880293340232,0.21376762448037614,0.2256077125580419,0.23800601529469775,0.016779382480148375,250
Kolding,M: Moderaterne,0.1324675549544744,0.08391246311178759,0.09461779890785069,0.1074022148544134,0.017943475200273198,250
Kolding,V: Venstre,0.11278217665864117,0.1281559520996674,0.14133209683858353,0.15297140164705608,0.017852952628778607,250
Kolding,Other - Right,0.09434203819104653,0.1033002893112517,0.11350566640191626,0.12337710893107406,0.015960648978702953,250
Kolding,F: SF - Socialistisk Folkeparti,0.09260606453671508,0.0860597973393808,0.0939015542472508,0.10125788122927214,0.011575205403948293,250
Kolding,Æ: Danmarksdemokraterne,0.08962691583170934,0.07105246740653434,0.08068142018396596,0.0882822065943213,0.012432384318456492,250
Kolding,Other - Left,0.08879333388565758,0.0890958618621218,0.09515929668281553,0.10277363281882075,0.009676974613008855,250
Kolding,I: Liberal Alliance,0.07365237510035245,0.07053578688247152,0.07997579181021058,0.08803309654963151,0.013734999640543349,250
Kolding,Did not vote,0.04800077830639507,0.041298236564356786,0.04408584315127253,0.046944166571241217,0.0038925214156027735,250
