municipality,party,expected_N,total_N,point_estimate
Lemvig,I: Liberal Alliance,890.6225422321975,13757.99999999999,0.06473488459312386
Lemvig,M: Moderaterne,893.0815449720901,13757.99999999999,0.06491361716616446
Lemvig,Other,210.85378743763528,13757.99999999999,0.015325904014946606
Lemvig,Other - Left,956.908158233453,13757.99999999999,0.06955285348404228
Lemvig,Other - Right,1366.1911869850196,13757.99999999999,0.099301583586642
Lemvig,V: Venstre,3080.093665809319,13757.99999999999,0.2238765566077425
Lemvig,Æ: Danmarksdemokraterne,1095.6906116246787,13757.99999999999,0.07964025378868145
Lolland,A: Socialdemokratiet,10385.202823292666,29005.00000000001,0.35804870964635965
Lolland,Did not vote,1821.02979626736,29005.00000000001,0.06278330619780588
Lolland,F: SF - Socialistisk Folkeparti,1875.7861322758056,29005.00000000001,0.06467113022843664
Lolland,I: Liberal Alliance,1629.0800458491135,29005.00000000001,0.056165490289574654
Lolland,M: Moderaterne,3763.6993530240215,29005.00000000001,0.1297603638346499
Lolland,Other,645.2336759534743,29005.00000000001,0.02224560165328302
Lolland,Other - Left,1552.8287679821344,29005.00000000001,0.05353658913918751
Lolland,Other - Right,3281.154212205058,29005.00000000001,0.11312374460282905
Lolland,V: Venstre,2276.6618254575687,29005.00000000001,0.07849204707662706
Lolland,Æ: Danmarksdemokraterne,1774.3233676927919,29005.00000000001,0.061173017331246034
Lyngby-Taarbæk,A: Socialdemokratiet,6881.265358810868,37912.00000000001,0.1815062607831522
Lyngby-Taarbæk,Did not vote,1145.4519648915225,37912.00000000001,0.03021344072830561
Lyngby-Taarbæk,F: SF - Socialistisk Folkeparti,5202.721365096997,37912.00000000001,0.13723151944231368
Lyngby-Taarbæk,I: Liberal Alliance,1739.5015974547218,37912.00000000001,0.04588261229834146
Lyngby-Taarbæk,M: Moderaterne,5734.418117688347,37912.00000000001,0.15125601703123934
Lyngby-Taarbæk,Other,861.1561696352755,37912.00000000001,0.022714606711206883
Lyngby-Taarbæk,Other - Left,7293.83954919135,37912.00000000001,0.19238867770603893
Lyngby-Taarbæk,Other - Right,4161.983979505894,37912.00000000001,0.10978012184811915
Lyngby-Taarbæk,V: Venstre,4049.6910398599302,37912.00000000001,0.10681818526745963
Lyngby-Taarbæk,Æ: Danmarksdemokraterne,841.9708578650935,37912.00000000001,0.02220855818382289
Mariagerfjord,A: Socialdemokratiet,8808.197675170617,30372.99999999998,0.2900009111767235
Mariagerfjord,Did not vote,1332.2360490048868,30372.99999999998,0.043862511079079694
Mariagerfjord,F: SF - Socialistisk Folkeparti,2215.423892508393,30372.99999999998,0.07294056867969559
Mariagerfjord,I: Liberal Alliance,2995.843627615498,30372.99999999998,0.0986350912855332
Mariagerfjord,M: Moderaterne,3016.7479820009835,30372.99999999998,0.09932334580057897
Mariagerfjord,Other,483.18399072082724,30372.99999999998,0.01590833933825528
Mariagerfjord,Other - Left,2133.679316711546,30372.99999999998,0.07024921202092475
Mariagerfjord,Other - Right,3005.102318341657,30372.99999999998,0.09893992422025018
Mariagerfjord,V: Venstre,3253.3938687837262,30372.99999999998,0.10711466989707069
Mariagerfjord,Æ: Danmarksdemokraterne,3129.19127914186,30372.99999999998,0.10302542650188858
Middelfart,A: Socialdemokratiet,8833.038474611492,29789.000000000007,0.29652014081075195
Middelfart,Did not vote,1023.8175900147976,29789.000000000007,0.03436898150373619
Middelfart,F: SF - Socialistisk Folkeparti,2802.4125545508223,29789.000000000007,0.09407541557456851
Middelfart,I: Liberal Alliance,1846.976727799281,29789.000000000007,0.06200197145923934
Middelfart,M: Moderaterne,3636.264725155572,29789.000000000007,0.12206736463646214
Middelfart,Other,640.2834895059539,29789.000000000007,0.021493957148811766
Middelfart,Other - Left,2413.3871020225556,29789.000000000007,0.08101604961638709
Middelfart,Other - Right,3666.3361212590066,29789.000000000007,0.12307684451505609
Middelfart,V: Venstre,3000.4413966187126,29789.000000000007,0.10072313258648198
Middelfart,Æ: Danmarksdemokraterne,1926.0418184618136,29789.000000000007,0.06465614214850492
Morsø,A: Socialdemokratiet,4706.475156113465,14422.999999999996,0.3263173511830733
Morsø,Did not vote,725.5266778791846,14422.999999999996,0.050303451284696994
Morsø,F: SF - Socialistisk Folkeparti,969.6934596632575,14422.999999999996,0.0672324384429909
Morsø,I: Liberal Alliance,1116.633405172268,14422.999999999996,0.07742032900036527
Morsø,M: Moderaterne,1276.4036894478159,14422.999999999996,0.088497794456619025
Morsø,Other,235.08600815545748,14422.999999999996,0.016299383495490365
Morsø,Other - Left,812.1020535147412,14422.999999999996,0.056306042675916344
Morsø,Other - Right,1497.3130005872965,14422.999999999996,0.10381425505007952
Morsø,V: Venstre,1713.2964907426217,14422.999999999996,0.11878919023383638
Morsø,Æ: Danmarksdemokraterne,1370.4700587238897,14422.999999999996,0.09501976417693199
Norddjurs,A: Socialdemokratiet,9252.321242899756,26983.000000000004,0.3428944610643648
Norddjurs,Did not vote,1449.4876244329178,26983.000000000004,0.05371854962135113
Norddjurs,F: SF - Socialistisk Folkeparti,1763.9663546874585,26983.000000000004,0.06537324814466361
Norddjurs,I: Liberal Alliance,1976.8606470994114,26983.000000000004,0.07326318967866476
Norddjurs,M: Moderaterne,3408.6040697024214,26983.000000000004,0.12632413259098027
Norddjurs,Other,554.8956366295333,26983.000000000004,0.02056463835116678
Norddjurs,Other - Left,1694.467597020292,26983.000000000004,0.06279759837750776
Norddjurs,Other - Right,2483.5304826574124,26983.000000000004,0.09204056193371427
Norddjurs,V: Venstre,2312.492766721894,26983.000000000004,0.08570184066715686
Norddjurs,Æ: Danmarksdemokraterne,2086.3735781489013,26983.000000000004,0.07732177957042957
Nordfyns,A: Socialdemokratiet,7093.905710917841,21055.000000000022,0.33692261747413127
Nordfyns,Did not vote,940.2154519734645,21055.000000000022,0.04465521025758554
Nordfyns,F: SF - Socialistisk Folkeparti,1519.5913779087798,21055.000000000022,0.0721724710476741
Nordfyns,I: Liberal Alliance,1363.8191225299868,21055.000000000022,0.06477412123153575
Nordfyns,M: Moderaterne,2722.0393750909793,21055.000000000022,0.12928232605514017
Nordfyns,Other,381.0134200114571,21055.000000000022,0.018096101639109793
Nordfyns,Other - Left,1314.9455759113937,21055.000000000022,0.06245288890578923
Nordfyns,Other - Right,2360.844083770055,21055.000000000022,0.11212747963761827
Nordfyns,V: Venstre,2021.004033336795,21055.000000000022,0.09598689305802863
Nordfyns,Æ: Danmarksdemokraterne,1337.6218485492468,21055.000000000022,0.06352989069338615
Nyborg,A: Socialdemokratiet,7579.29547889867,23991.999999999996,0.31590928138123836
Nyborg,Did not vote,1049.71590997726,23991.999999999996,0.0437527471647741
Nyborg,F: SF - Socialistisk Folkeparti,2169.187463807736,23991.999999999996,0.09041294864153619
Nyborg,I: Liberal Alliance,1591.5642135668145,23991.999999999996,0.06633728799461548
Nyborg,M: Moderaterne,2796.3048968401276,23991.999999999996,0.11655155455318973
