municipality_code,municipality,party,vote_pct
0780,Växjö,Centre Party (C),0.05269400203320908
0781,Ljungby,Centre Party (C),0.045113491576612715
0821,Högsby,Centre Party (C),0.06168505516549649
0834,Torsås,Centre Party (C),0.05989866087585957
0840,Mörbylånga,Centre Party (C),0.06738081609289394
0860,Hultsfred,Centre Party (C),0.05932120976368764
0861,Mönsterås,Centre Party (C),0.05294291629695356
0862,Emmaboda,Centre Party (C),0.05665310865775712
0880,Kalmar,Centre Party (C),0.05355502480249862
0881,Nybro,Centre Party (C),0.0506245456347895
0882,Oskarshamn,Centre Party (C),0.03460837887067395
0883,Västervik,Centre Party (C),0.05004608609565425
0884,Vimmerby,Centre Party (C),0.0655464980868408
0885,Borgholm,Centre Party (C),0.07241379310344828
0980,Gotland,Centre Party (C),0.09837593735758379
1060,Olofström,Centre Party (C),0.03383162863886703
1080,Karlskrona,Centre Party (C),0.04481842338352524
1081,Ronneby,Centre Party (C),0.03775133360689372
1082,Karlshamn,Centre Party (C),0.03870167293684463
1083,Sölvesborg,Centre Party (C),0.029790602288263652
1214,Svalöv,Centre Party (C),0.04685961803504627
1230,Staffanstorp,Centre Party (C),0.05134733715255676
1231,Burlöv,Centre Party (C),0.03449299013426303
1233,Vellinge,Centre Party (C),0.05354028601325427
1256,Östra Göinge,Centre Party (C),0.035086060147531684
1257,Örkelljunga,Centre Party (C),0.03332897660436544
1260,Bjuv,Centre Party (C),0.02213316331177703
1261,Kävlinge,Centre Party (C),0.060100732213145984
1262,Lomma,Centre Party (C),0.07551270619705751
1263,Svedala,Centre Party (C),0.04106207477873443
1264,Skurup,Centre Party (C),0.042212281415209434
1265,Sjöbo,Centre Party (C),0.0348658234624908
1266,Hörby,Centre Party (C),0.04588461860504061
1267,Höör,Centre Party (C),0.04381443298969072
1270,Tomelilla,Centre Party (C),0.046357615894039736
1272,Bromölla,Centre Party (C),0.01871014947214383
1273,Osby,Centre Party (C),0.03802588996763754
1275,Perstorp,Centre Party (C),0.02838810033054637
1276,Klippan,Centre Party (C),0.0317215891592239
1277,Åstorp,Centre Party (C),0.024168094508071062
1278,Båstad,Centre Party (C),0.06412698412698413
1280,Malmö,Centre Party (C),0.04079276352459669
1281,Lund,Centre Party (C),0.0717089291252687
1282,Landskrona,Centre Party (C),0.02828496662844374
1283,Helsingborg,Centre Party (C),0.03832654907281773
1284,Höganäs,Centre Party (C),0.05570677679744697
1285,Eslöv,Centre Party (C),0.0405064305460956
1286,Ystad,Centre Party (C),0.041086654768986715
1287,Trelleborg,Centre Party (C),0.03591000865301413
1290,Kristianstad,Centre Party (C),0.03681948204916403
1291,Simrishamn,Centre Party (C),0.04853625868996747
1292,Ängelholm,Centre Party (C),0.04700628709089841
1293,Hässleholm,Centre Party (C),0.040704154002026344
1315,Hylte,Centre Party (C),0.05912389142703574
1380,Halmstad,Centre Party (C),0.04908192536615571
1381,Laholm,Centre Party (C),0.060707171314741036
1382,Falkenberg,Centre Party (C),0.06813113291703836
1383,Varberg,Centre Party (C),0.06673209028459273
1384,Kungsbacka,Centre Party (C),0.05762232106752931
1401,Härryda,Centre Party (C),0.061304439895531866
1402,Partille,Centre Party (C),0.05479742628862335
1407,Öckerö,Centre Party (C),0.04118745699400374
1415,Stenungsund,Centre Party (C),0.04848338950409244
1419,Tjörn,Centre Party (C),0.04737335834896811
1421,Orust,Centre Party (C),0.052922337870296245
1427,Sotenäs,Centre Party (C),0.04536515012455749
1430,Munkedal,Centre Party (C),0.04827071410798706
1435,Tanum,Centre Party (C),0.06949581467782752
1438,Dals-Ed,Centre Party (C),0.0653538812785388
1439,Färgelanda,Centre Party (C),0.056562437761402115
1440,Ale,Centre Party (C),0.043127614611635834
1441,Lerum,Centre Party (C),0.056026515392950484
1442,Vårgårda,Centre Party (C),0.08010651281482303
1443,Bollebygd,Centre Party (C),0.05359622327131352
1444,Grästorp,Centre Party (C),0.07593818984547461
