municipality,gender,age_group,education,N
Aalburg,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,55 tot 65 jaar,Basisonderwijs,
Aalburg,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",
Aalburg,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,65 tot 75 jaar,Basisonderwijs,
Aalburg,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",
Aalburg,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalsmeer,Mannen,15 tot 25 jaar,Basisonderwijs,274
Aalsmeer,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",987
Aalsmeer,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",145
Aalsmeer,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",18
Aalsmeer,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",876
Aalsmeer,Mannen,25 tot 35 jaar,Basisonderwijs,126
Aalsmeer,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",879
Aalsmeer,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",376
Aalsmeer,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",168
Aalsmeer,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",151
Aalsmeer,Mannen,35 tot 45 jaar,Basisonderwijs,93
Aalsmeer,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",775
Aalsmeer,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",441
Aalsmeer,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",266
Aalsmeer,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",325
Aalsmeer,Mannen,45 tot 55 jaar,Basisonderwijs,187
Aalsmeer,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",845
Aalsmeer,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",557
Aalsmeer,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",446
Aalsmeer,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",365
Aalsmeer,Mannen,55 tot 65 jaar,Basisonderwijs,148
Aalsmeer,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1132
Aalsmeer,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",442
Aalsmeer,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",270
Aalsmeer,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",510
Aalsmeer,Mannen,65 tot 75 jaar,Basisonderwijs,118
Aalsmeer,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",742
Aalsmeer,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",225
Aalsmeer,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",60
Aalsmeer,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",352
Aalsmeer,Vrouwen,15 tot 25 jaar,Basisonderwijs,189
Aalsmeer,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",939
Aalsmeer,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",191
Aalsmeer,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",23
Aalsmeer,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",756
Aalsmeer,Vrouwen,25 tot 35 jaar,Basisonderwijs,112
Aalsmeer,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",530
Aalsmeer,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",809
Aalsmeer,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",197
Aalsmeer,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",51
Aalsmeer,Vrouwen,35 tot 45 jaar,Basisonderwijs,143
Aalsmeer,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",832
Aalsmeer,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",640
Aalsmeer,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",387
Aalsmeer,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",196
Aalsmeer,Vrouwen,45 tot 55 jaar,Basisonderwijs,140
Aalsmeer,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",985
Aalsmeer,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",668
Aalsmeer,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",440
Aalsmeer,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",268
Aalsmeer,Vrouwen,55 tot 65 jaar,Basisonderwijs,122
Aalsmeer,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1195
Aalsmeer,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",408
Aalsmeer,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",209
Aalsmeer,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",463
Aalsmeer,Vrouwen,65 tot 75 jaar,Basisonderwijs,155
Aalsmeer,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",627
Aalsmeer,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",128
Aalsmeer,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",66
Aalsmeer,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",525
Aalten,Mannen,15 tot 25 jaar,Basisonderwijs,230
Aalten,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",775
Aalten,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",56
Aalten,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",10
Aalten,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",631
Aalten,Mannen,25 tot 35 jaar,Basisonderwijs,46
Aalten,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",897
Aalten,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",356
Aalten,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",78
