municipality,gender,age_group,N
Aarle-Rixtel,Mannen,60-64,0.0
Aarle-Rixtel,Mannen,65-69,0.0
Aarle-Rixtel,Mannen,70-74,0.0
Aarle-Rixtel,Mannen,75+,0.0
Aarle-Rixtel,Vrouwen,15-19,0.0
Aarle-Rixtel,Vrouwen,20-24,0.0
Aarle-Rixtel,Vrouwen,25-29,0.0
Aarle-Rixtel,Vrouwen,30-34,0.0
Aarle-Rixtel,Vrouwen,35-39,0.0
Aarle-Rixtel,Vrouwen,40-44,0.0
Aarle-Rixtel,Vrouwen,45-49,0.0
Aarle-Rixtel,Vrouwen,50-54,0.0
Aarle-Rixtel,Vrouwen,55-59,0.0
Aarle-Rixtel,Vrouwen,60-64,0.0
Aarle-Rixtel,Vrouwen,65-69,0.0
Aarle-Rixtel,Vrouwen,70-74,0.0
Aarle-Rixtel,Vrouwen,75+,0.0
Abcoude,Mannen,15-19,0.0
Abcoude,Mannen,20-24,0.0
Abcoude,Mannen,25-29,0.0
Abcoude,Mannen,30-34,0.0
Abcoude,Mannen,35-39,0.0
Abcoude,Mannen,40-44,0.0
Abcoude,Mannen,45-49,0.0
Abcoude,Mannen,50-54,0.0
Abcoude,Mannen,55-59,0.0
Abcoude,Mannen,60-64,0.0
Abcoude,Mannen,65-69,0.0
Abcoude,Mannen,70-74,0.0
Abcoude,Mannen,75+,0.0
Abcoude,Vrouwen,15-19,0.0
Abcoude,Vrouwen,20-24,0.0
Abcoude,Vrouwen,25-29,0.0
Abcoude,Vrouwen,30-34,0.0
Abcoude,Vrouwen,35-39,0.0
Abcoude,Vrouwen,40-44,0.0
Abcoude,Vrouwen,45-49,0.0
Abcoude,Vrouwen,50-54,0.0
Abcoude,Vrouwen,55-59,0.0
Abcoude,Vrouwen,60-64,0.0
Abcoude,Vrouwen,65-69,0.0
Abcoude,Vrouwen,70-74,0.0
Abcoude,Vrouwen,75+,0.0
Achtkarspelen,Mannen,15-19,997.0
Achtkarspelen,Mannen,20-24,945.0
Achtkarspelen,Mannen,25-29,768.0
Achtkarspelen,Mannen,30-34,781.0
Achtkarspelen,Mannen,35-39,826.0
Achtkarspelen,Mannen,40-44,826.0
Achtkarspelen,Mannen,45-49,840.0
Achtkarspelen,Mannen,50-54,1090.0
Achtkarspelen,Mannen,55-59,1049.0
Achtkarspelen,Mannen,60-64,954.0
Achtkarspelen,Mannen,65-69,900.0
Achtkarspelen,Mannen,70-74,820.0
Achtkarspelen,Mannen,75+,140.0
Achtkarspelen,Vrouwen,15-19,879.0
Achtkarspelen,Vrouwen,20-24,740.0
Achtkarspelen,Vrouwen,25-29,698.0
Achtkarspelen,Vrouwen,30-34,774.0
Achtkarspelen,Vrouwen,35-39,744.0
Achtkarspelen,Vrouwen,40-44,808.0
Achtkarspelen,Vrouwen,45-49,841.0
Achtkarspelen,Vrouwen,50-54,997.0
Achtkarspelen,Vrouwen,55-59,994.0
Achtkarspelen,Vrouwen,60-64,979.0
Achtkarspelen,Vrouwen,65-69,866.0
Achtkarspelen,Vrouwen,70-74,803.0
Achtkarspelen,Vrouwen,75+,146.0
Adorp,Mannen,15-19,0.0
Adorp,Mannen,20-24,0.0
Adorp,Mannen,25-29,0.0
Adorp,Mannen,30-34,0.0
Adorp,Mannen,35-39,0.0
Adorp,Mannen,40-44,0.0
Adorp,Mannen,45-49,0.0
Adorp,Mannen,50-54,0.0
Adorp,Mannen,55-59,0.0
Adorp,Mannen,60-64,0.0
Adorp,Mannen,65-69,0.0
Adorp,Mannen,70-74,0.0
Adorp,Mannen,75+,0.0
Adorp,Vrouwen,15-19,0.0
Adorp,Vrouwen,20-24,0.0
Adorp,Vrouwen,25-29,0.0
Adorp,Vrouwen,30-34,0.0
Adorp,Vrouwen,35-39,0.0
Adorp,Vrouwen,40-44,0.0
Adorp,Vrouwen,45-49,0.0
Adorp,Vrouwen,50-54,0.0
Adorp,Vrouwen,55-59,0.0
Adorp,Vrouwen,60-64,0.0
Adorp,Vrouwen,65-69,0.0
Adorp,Vrouwen,70-74,0.0
Adorp,Vrouwen,75+,0.0
Aduard,Mannen,15-19,0.0
Aduard,Mannen,20-24,0.0
Aduard,Mannen,25-29,0.0
Aduard,Mannen,30-34,0.0
Aduard,Mannen,35-39,0.0
Aduard,Mannen,40-44,0.0
Aduard,Mannen,45-49,0.0
Aduard,Mannen,50-54,0.0
Aduard,Mannen,55-59,0.0
Aduard,Mannen,60-64,0.0
Aduard,Mannen,65-69,0.0
Aduard,Mannen,70-74,0.0
Aduard,Mannen,75+,0.0
Aduard,Vrouwen,15-19,0.0
Aduard,Vrouwen,20-24,0.0
Aduard,Vrouwen,25-29,0.0
Aduard,Vrouwen,30-34,0.0
Aduard,Vrouwen,35-39,0.0
Aduard,Vrouwen,40-44,0.0
Aduard,Vrouwen,45-49,0.0
Aduard,Vrouwen,50-54,0.0
Aduard,Vrouwen,55-59,0.0
Aduard,Vrouwen,60-64,0.0
Aduard,Vrouwen,65-69,0.0
Aduard,Vrouwen,70-74,0.0
Aduard,Vrouwen,75+,0.0
Akersloot,Mannen,15-19,0.0
Akersloot,Mannen,20-24,0.0
Akersloot,Mannen,25-29,0.0
Akersloot,Mannen,30-34,0.0
Akersloot,Mannen,35-39,0.0
Akersloot,Mannen,40-44,0.0
Akersloot,Mannen,45-49,0.0
Akersloot,Mannen,50-54,0.0
Akersloot,Mannen,55-59,0.0
Akersloot,Mannen,60-64,0.0
Akersloot,Mannen,65-69,0.0
Akersloot,Mannen,70-74,0.0
Akersloot,Mannen,75+,0.0
Akersloot,Vrouwen,15-19,0.0
Akersloot,Vrouwen,20-24,0.0
Akersloot,Vrouwen,25-29,0.0
Akersloot,Vrouwen,30-34,0.0
Akersloot,Vrouwen,35-39,0.0
Akersloot,Vrouwen,40-44,0.0
Akersloot,Vrouwen,45-49,0.0
Akersloot,Vrouwen,50-54,0.0
