municipality,gender,age_group,education,N
Leek,Mannen,15 tot 75 jaar,low,
Leerdam,Mannen,15 tot 75 jaar,low,
Leeuwarden,Mannen,15 tot 75 jaar,low,12400.0
Leeuwarderadeel,Mannen,15 tot 75 jaar,low,
Leiden,Mannen,15 tot 75 jaar,low,9779.0
Leiderdorp,Mannen,15 tot 75 jaar,low,2178.0
Leidschendam-Voorburg,Mannen,15 tot 75 jaar,low,6215.0
Lelystad,Mannen,15 tot 75 jaar,low,9855.0
Lemsterland,Mannen,15 tot 75 jaar,low,
Leudal,Mannen,15 tot 75 jaar,low,3962.0
Leusden,Mannen,15 tot 75 jaar,low,2150.0
Lingewaal,Mannen,15 tot 75 jaar,low,
Lingewaard,Mannen,15 tot 75 jaar,low,4629.0
Lisse,Mannen,15 tot 75 jaar,low,2125.0
Littenseradiel,Mannen,15 tot 75 jaar,low,
Lochem,Mannen,15 tot 75 jaar,low,2629.0
Loon op Zand,Mannen,15 tot 75 jaar,low,2252.0
Lopik,Mannen,15 tot 75 jaar,low,2006.0
Loppersum,Mannen,15 tot 75 jaar,low,
Losser,Mannen,15 tot 75 jaar,low,2376.0
Maasdonk,Mannen,15 tot 75 jaar,low,
Maasdriel,Mannen,15 tot 75 jaar,low,3182.0
Maasgouw,Mannen,15 tot 75 jaar,low,2631.0
Maashorst,Mannen,15 tot 75 jaar,low,5891.0
Maassluis,Mannen,15 tot 75 jaar,low,3930.0
Maastricht,Mannen,15 tot 75 jaar,low,12203.0
De Marne,Mannen,15 tot 75 jaar,low,
Marum,Mannen,15 tot 75 jaar,low,
Medemblik,Mannen,15 tot 75 jaar,low,5272.0
Meerssen,Mannen,15 tot 75 jaar,low,1675.0
Meierijstad,Mannen,15 tot 75 jaar,low,8533.0
Menameradiel,Mannen,15 tot 75 jaar,low,
Menterwolde,Mannen,15 tot 75 jaar,low,
Meppel,Mannen,15 tot 75 jaar,low,3524.0
Middelburg (Z.),Mannen,15 tot 75 jaar,low,4104.0
Midden-Delfland,Mannen,15 tot 75 jaar,low,1654.0
Midden-Drenthe,Mannen,15 tot 75 jaar,low,2959.0
Midden-Groningen,Mannen,15 tot 75 jaar,low,6903.0
Mill en Sint Hubert,Mannen,15 tot 75 jaar,low,
Millingen aan de Rijn,Mannen,15 tot 75 jaar,low,
Moerdijk,Mannen,15 tot 75 jaar,low,3930.0
Molenlanden,Mannen,15 tot 75 jaar,low,4351.0
Molenwaard,Mannen,15 tot 75 jaar,low,
Montferland,Mannen,15 tot 75 jaar,low,4088.0
Montfoort,Mannen,15 tot 75 jaar,low,1377.0
Mook en Middelaar,Mannen,15 tot 75 jaar,low,552.0
Muiden,Mannen,15 tot 75 jaar,low,
Naarden,Mannen,15 tot 75 jaar,low,
Neder-Betuwe,Mannen,15 tot 75 jaar,low,2967.0
Nederlek,Mannen,15 tot 75 jaar,low,
Nederweert,Mannen,15 tot 75 jaar,low,1990.0
Neerijnen,Mannen,15 tot 75 jaar,low,
Nieuwegein,Mannen,15 tot 75 jaar,low,6449.0
Nieuwkoop,Mannen,15 tot 75 jaar,low,2942.0
Nijkerk,Mannen,15 tot 75 jaar,low,4502.0
Nijmegen,Mannen,15 tot 75 jaar,low,15204.0
Nissewaard,Mannen,15 tot 75 jaar,low,9945.0
Noardeast-Fryslân,Mannen,15 tot 75 jaar,low,5225.0
Noord-Beveland,Mannen,15 tot 75 jaar,low,651.0
Noordenveld,Mannen,15 tot 75 jaar,low,2407.0
Noordoostpolder,Mannen,15 tot 75 jaar,low,5520.0
Noordwijk,Mannen,15 tot 75 jaar,low,4292.0
Noordwijkerhout,Mannen,15 tot 75 jaar,low,
"Nuenen, Gerwen en Nederwetten",Mannen,15 tot 75 jaar,low,1772.0
Nunspeet,Mannen,15 tot 75 jaar,low,3203.0
Nuth,Mannen,15 tot 75 jaar,low,
Oegstgeest,Mannen,15 tot 75 jaar,low,1356.0
Oirschot,Mannen,15 tot 75 jaar,low,1770.0
Oisterwijk,Mannen,15 tot 75 jaar,low,2684.0
Oldambt,Mannen,15 tot 75 jaar,low,4575.0
Oldebroek,Mannen,15 tot 75 jaar,low,3030.0
Oldenzaal,Mannen,15 tot 75 jaar,low,2938.0
Olst-Wijhe,Mannen,15 tot 75 jaar,low,1555.0
Ommen,Mannen,15 tot 75 jaar,low,1930.0
Onderbanken,Mannen,15 tot 75 jaar,low,
Oost Gelre,Mannen,15 tot 75 jaar,low,2553.0
Oosterhout,Mannen,15 tot 75 jaar,low,5491.0
Ooststellingwerf,Mannen,15 tot 75 jaar,low,2745.0
Oostzaan,Mannen,15 tot 75 jaar,low,770.0
Opmeer,Mannen,15 tot 75 jaar,low,1241.0
Opsterland,Mannen,15 tot 75 jaar,low,3338.0
Oss,Mannen,15 tot 75 jaar,low,10930.0
Oud-Beijerland,Mannen,15 tot 75 jaar,low,
Oude IJsselstreek,Mannen,15 tot 75 jaar,low,4711.0
Ouder-Amstel,Mannen,15 tot 75 jaar,low,903.0
Ouderkerk,Mannen,15 tot 75 jaar,low,
Oudewater,Mannen,15 tot 75 jaar,low,992.0
Overbetuwe,Mannen,15 tot 75 jaar,low,4716.0
Papendrecht,Mannen,15 tot 75 jaar,low,2750.0
Peel en Maas,Mannen,15 tot 75 jaar,low,4797.0
Pekela,Mannen,15 tot 75 jaar,low,1429.0
Pijnacker-Nootdorp,Mannen,15 tot 75 jaar,low,4773.0
Purmerend,Mannen,15 tot 75 jaar,low,9443.0
Putten,Mannen,15 tot 75 jaar,low,2745.0
Raalte,Mannen,15 tot 75 jaar,low,3355.0
Reimerswaal,Mannen,15 tot 75 jaar,low,2601.0
Renkum,Mannen,15 tot 75 jaar,low,2296.0
Renswoude,Mannen,15 tot 75 jaar,low,460.0
Reusel-De Mierden,Mannen,15 tot 75 jaar,low,1431.0
Rheden,Mannen,15 tot 75 jaar,low,4054.0
Rhenen,Mannen,15 tot 75 jaar,low,2146.0
Ridderkerk,Mannen,15 tot 75 jaar,low,4626.0
Rijnwaarden,Mannen,15 tot 75 jaar,low,
Rijnwoude,Mannen,15 tot 75 jaar,low,
Rijssen-Holten,Mannen,15 tot 75 jaar,low,3680.0
Rijswijk (ZH.),Mannen,15 tot 75 jaar,low,4665.0
Roerdalen,Mannen,15 tot 75 jaar,low,1794.0
Roermond,Mannen,15 tot 75 jaar,low,6426.0
De Ronde Venen,Mannen,15 tot 75 jaar,low,3864.0
