region,gender,age_group,education,N
Agglomeratie Haarlem (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",3618
Agglomeratie Haarlem (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",5530
Agglomeratie Haarlem (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",6652
Agglomeratie Haarlem (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",3776
Agglomeratie Haarlem (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",4237
Agglomeratie Haarlem (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",4787
Agglomeratie Leiden en Bollenstreek (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",11595
Agglomeratie Leiden en Bollenstreek (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",13805
Agglomeratie Leiden en Bollenstreek (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",3300
Agglomeratie Leiden en Bollenstreek (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",4039
Agglomeratie Leiden en Bollenstreek (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",11873
Agglomeratie Leiden en Bollenstreek (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",14688
Agglomeratie Leiden en Bollenstreek (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",4688
Agglomeratie Leiden en Bollenstreek (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",9648
Agglomeratie Leiden en Bollenstreek (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",12764
Agglomeratie Leiden en Bollenstreek (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",5003
Agglomeratie Leiden en Bollenstreek (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",9872
Agglomeratie Leiden en Bollenstreek (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",11997
Agglomeratie Leiden en Bollenstreek (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",6765
Agglomeratie Leiden en Bollenstreek (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",11324
Agglomeratie Leiden en Bollenstreek (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",11711
Agglomeratie Leiden en Bollenstreek (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",6307
Agglomeratie Leiden en Bollenstreek (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",8401
Agglomeratie Leiden en Bollenstreek (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",9115
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",10447
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",14818
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",5735
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2379
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",9089
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",19062
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",3482
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",9030
Agglomeratie Leiden en Bollenstreek (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",14661
