gm_code,municipality,gender,age_group,education,N
GM0796    ,'s-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1102.0
GM0796    ,'s-Hertogenbosch,Vrouwen,55 tot 65 jaar,Basisonderwijs,1321.0
GM0796    ,'s-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",4151.0
GM0796    ,'s-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",2231.0
GM0796    ,'s-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",1254.0
GM0796    ,'s-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2142.0
GM0796    ,'s-Hertogenbosch,Vrouwen,65 tot 75 jaar,Basisonderwijs,1314.0
GM0796    ,'s-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",3051.0
GM0796    ,'s-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",1782.0
GM0796    ,'s-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",738.0
GM0796    ,'s-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2124.0
GM1680    ,Aa en Hunze,Mannen,15 tot 25 jaar,Basisonderwijs,480.0
GM1680    ,Aa en Hunze,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",465.0
GM1680    ,Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",52.0
GM1680    ,Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",4.0
GM1680    ,Aa en Hunze,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",399.0
GM1680    ,Aa en Hunze,Mannen,25 tot 35 jaar,Basisonderwijs,69.0
GM1680    ,Aa en Hunze,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",610.0
GM1680    ,Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",251.0
GM1680    ,Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",86.0
GM1680    ,Aa en Hunze,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",84.0
GM1680    ,Aa en Hunze,Mannen,35 tot 45 jaar,Basisonderwijs,29.0
GM1680    ,Aa en Hunze,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",628.0
GM1680    ,Aa en Hunze,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",376.0
GM1680    ,Aa en Hunze,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",174.0
GM1680    ,Aa en Hunze,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",95.0
GM1680    ,Aa en Hunze,Mannen,45 tot 55 jaar,Basisonderwijs,91.0
GM1680    ,Aa en Hunze,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",717.0
GM1680    ,Aa en Hunze,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",381.0
GM1680    ,Aa en Hunze,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",224.0
GM1680    ,Aa en Hunze,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",187.0
GM1680    ,Aa en Hunze,Mannen,55 tot 65 jaar,Basisonderwijs,48.0
GM1680    ,Aa en Hunze,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1131.0
GM1680    ,Aa en Hunze,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",484.0
GM1680    ,Aa en Hunze,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",240.0
GM1680    ,Aa en Hunze,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",297.0
GM1680    ,Aa en Hunze,Mannen,65 tot 75 jaar,Basisonderwijs,78.0
GM1680    ,Aa en Hunze,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",762.0
GM1680    ,Aa en Hunze,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",474.0
GM1680    ,Aa en Hunze,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",274.0
GM1680    ,Aa en Hunze,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",414.0
GM1680    ,Aa en Hunze,Vrouwen,15 tot 25 jaar,Basisonderwijs,130.0
GM1680    ,Aa en Hunze,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",520.0
GM1680    ,Aa en Hunze,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",77.0
GM1680    ,Aa en Hunze,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",11.0
GM1680    ,Aa en Hunze,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",463.0
GM1680    ,Aa en Hunze,Vrouwen,25 tot 35 jaar,Basisonderwijs,15.0
GM1680    ,Aa en Hunze,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",461.0
GM1680    ,Aa en Hunze,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",328.0
GM1680    ,Aa en Hunze,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",150.0
GM1680    ,Aa en Hunze,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",45.0
GM1680    ,Aa en Hunze,Vrouwen,35 tot 45 jaar,Basisonderwijs,77.0
GM1680    ,Aa en Hunze,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",539.0
GM1680    ,Aa en Hunze,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",399.0
GM1680    ,Aa en Hunze,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",319.0
GM1680    ,Aa en Hunze,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",66.0
GM1680    ,Aa en Hunze,Vrouwen,45 tot 55 jaar,Basisonderwijs,68.0
GM1680    ,Aa en Hunze,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",745.0
GM1680    ,Aa en Hunze,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",435.0
GM1680    ,Aa en Hunze,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",321.0
GM1680    ,Aa en Hunze,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",131.0
GM1680    ,Aa en Hunze,Vrouwen,55 tot 65 jaar,Basisonderwijs,90.0
GM1680    ,Aa en Hunze,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",975.0
GM1680    ,Aa en Hunze,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",535.0
GM1680    ,Aa en Hunze,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",275.0
GM1680    ,Aa en Hunze,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",326.0
GM1680    ,Aa en Hunze,Vrouwen,65 tot 75 jaar,Basisonderwijs,168.0
GM1680    ,Aa en Hunze,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",862.0
GM1680    ,Aa en Hunze,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",336.0
GM1680    ,Aa en Hunze,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",168.0
GM1680    ,Aa en Hunze,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",466.0
GM0358    ,Aalsmeer,Mannen,15 tot 25 jaar,Basisonderwijs,274.0
GM0358    ,Aalsmeer,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",987.0
