,birthyear,age,municipality,mun_code,number_of_children,Q91,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education,higher_education
821,1985.0,41.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,0.0,0.0,Voted,B: Det Radikale Venstre,B: Det Radikale Venstre,Not strongly convinced supporter,No,"1,200,000 kr. or more",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
822,1985.0,41.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Very interested,6.0,7.0,Voted,M: Moderaterne,B: Det Radikale Venstre,,Yes,"600,000-699,999 kr.",Very insecure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
823,1988.0,38.0,Rudersdal,230.0,1.0,1.0,Women,Married,Living with spouse,Only slightly interested,1.0,1.0,,K: Kristendemokraterne,C: Det Konservative Folkeparti,,Yes,"250,000-299,999 kr.",Secure,Middle class,"Yes, member of a labor union",,H90 Not stated,H50 Vocational bachelors educations
824,1998.0,28.0,Rudersdal,230.0,2.0,,Women,In a steady relationship,Living with cohabitant,Only slightly interested,2.0,2.0,Voted,B: Det Radikale Venstre,A: Socialdemokraterne,,Yes,"150,000-199,999 kr.",Secure,,"Yes, member of a labor union",Publicly employed,H90 Not stated,
825,1998.0,28.0,Rudersdal,230.0,2.0,3.0,Women,Single,Living with other adults,Only slightly interested,2.0,2.0,,M: Moderaterne,,,,"Under 100,000 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
826,2003.0,23.0,Rudersdal,230.0,2.0,4.0,Men,Single,Living with other adults,Somewhat interested,2.0,2.0,Voted,I: Liberal Alliance,Did not vote,,Yes,"100,000-149,999 kr.",Secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",
827,1935.0,91.0,Egedal,240.0,2.0,1.0,Women,Widow/widower,Living alone,,7.0,0.0,Voted,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Strongly convinced supporter,,,Very secure,,"No, not a member",Privately employed,H1010 Primary school through to 6th grade,
828,1949.0,77.0,Egedal,240.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,0.0,7.0,"Considered voting, did not vote",,Did not vote,,Yes,"350,000-399,999 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
829,1952.0,74.0,Egedal,240.0,1.0,,Men,Married,Living with spouse,Very interested,7.0,,Voted,V: Venstre,O: Dansk Folkeparti,,Yes,"200,000-249,999 kr.",Neither secure nor insecure,Working class,"No, not a member",Self-employed,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
830,1953.0,73.0,Egedal,240.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,D: Nye Borgerlige,C: Det Konservative Folkeparti,,Yes,"150,000-199,999 kr.",Very secure,,"Yes, member of a labor union",Publicly employed,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
831,1960.0,66.0,Egedal,240.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,3.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"600,000-699,999 kr.",Insecure,Middle class,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
