party,municipality,year,N,N_pct
Another party,Varde,2019,245,0.008047562738142163
Another party,Vejen,2019,181,0.007112543225400818
Another party,Aabenraa,2019,226,0.006581821358884003
Another party,Fredericia,2019,302,0.009808379343942839
Another party,Horsens,2019,442,0.008416642863943636
Another party,Kolding,2019,405,0.007234726688102894
Another party,Vejle,2019,528,0.007634581182492517
Another party,Herning,2019,335,0.006106452788917244
Another party,Holstebro,2019,197,0.005367262423714036
Another party,Lemvig,2019,63,0.0049149633328132315
Another party,Struer,2019,80,0.005970149253731343
Another party,Syddjurs,2019,249,0.009165869101082235
Another party,Norddjurs,2019,193,0.008419491340574969
Another party,Favrskov,2019,193,0.006460899839314408
Another party,Odder,2019,97,0.006614387998636209
Another party,Randers,2019,399,0.006692272856879287
Another party,Silkeborg,2019,449,0.007638002891894191
Another party,Samsø,2019,20,0.00819336337566571
Another party,Skanderborg,2019,298,0.007605339050098257
Another party,Aarhus,2019,1548,0.007078933769898069
Another party,Ikast-Brande,2019,165,0.006752332623997381
Another party,Ringkøbing-Skjern,2019,167,0.004862850154329975
Another party,Hedensted,2019,235,0.008103727714748784
Another party,Morsø,2019,88,0.006759870947918267
Another party,Skive,2019,148,0.005029736618521665
Another party,Thisted,2019,182,0.0066926527910568506
Another party,Viborg,2019,326,0.005503410088459721
Another party,Brønderslev,2019,201,0.008986453257030447
Another party,Frederikshavn,2019,284,0.007618638838962363
Another party,Vesthimmerlands,2019,156,0.0070947789703474625
Another party,Læsø,2019,9,0.007371007371007371
Another party,Rebild,2019,151,0.008109995166228047
Another party,Mariagerfjord,2019,207,0.00798857672121025
Another party,Jammerbugt,2019,199,0.008296160420227624
Another party,Aalborg,2019,1298,0.009641597028783658
Another party,Hjørring,2019,289,0.0071912013536379014
Another party,Copenhagen,2019,4383,0.012405536214655686
Another party,Frederiksberg,2019,618,0.009513400347901048
Another party,Ballerup,2019,585,0.02025202520252025
Another party,Brøndby,2019,483,0.026259990213668243
Another party,Dragør,2019,127,0.014013019971311928
Another party,Gentofte,2019,501,0.011185532484929673
Another party,Gladsaxe,2019,653,0.016777575087998767
Another party,Glostrup,2019,328,0.025124473381846035
Another party,Herlev,2019,376,0.022675189965022314
Another party,Albertslund,2019,338,0.022464442376711417
Another party,Hvidovre,2019,681,0.022531762837480148
Another party,Høje-Taastrup,2019,605,0.02266087347366844
Another party,Lyngby-Taarbæk,2019,413,0.012118544600938967
Another party,Rødovre,2019,533,0.023106602505744138
Another party,Ishøj,2019,276,0.025864492549901603
Another party,Tårnby,2019,589,0.023493279087391808
Another party,Vallensbæk,2019,142,0.01552930883639545
Another party,Furesø,2019,242,0.009760032264569469
Another party,Allerød,2019,144,0.008697753080454215
Another party,Fredensborg,2019,313,0.012767172458802415
Another party,Helsingør,2019,672,0.017471336089228608
Another party,Hillerød,2019,463,0.014670468948035488
Another party,Hørsholm,2019,177,0.010860894643185862
Another party,Rudersdal,2019,308,0.008743045304871125
Another party,Egedal,2019,411,0.014942194430306114
Another party,Frederikssund,2019,552,0.01913809243143917
Another party,Greve,2019,688,0.022663636064169712
Another party,Køge,2019,855,0.02277145977042107
Another party,Halsnæs,2019,409,0.021062931300854876
Another party,Roskilde,2019,937,0.01684585236057675
Another party,Solrød,2019,307,0.021092408107179664
Another party,Gribskov,2019,585,0.022080471050049066
Another party,Odsherred,2019,626,0.029109509416414787
Another party,Holbæk,2019,1102,0.025065963060686015
Another party,Faxe,2019,800,0.035385704175513094
Another party,Kalundborg,2019,1201,0.0397326893174976
Another party,Ringsted,2019,510,0.024356464014518363
Another party,Slagelse,2019,1608,0.0334178477908475
Another party,Stevns,2019,421,0.028786324786324785
Another party,Sorø,2019,529,0.02836004932182491
Another party,Lejre,2019,340,0.018722466960352423
Another party,Lolland,2019,830,0.03315755832534356
Another party,Næstved,2019,1380,0.026697620429483458
Another party,Guldborgsund,2019,1102,0.02901909150757077
Another party,Vordingborg,2019,818,0.027925713505393964
Another party,Bornholm,2019,479,0.018987592658659375
Another party,Middelfart,2019,421,0.016934835076427998
Another party,Christiansø,2019,2,0.03571428571428571
Another party,Assens,2019,594,0.02288135593220339
Another party,Faaborg-Midtfyn,2019,628,0.01924904214559387
Another party,Kerteminde,2019,357,0.023383768913342505
Another party,Nyborg,2019,386,0.01903446915528379
Another party,Odense,2019,2221,0.017737349859442884
Another party,Svendborg,2019,651,0.017357222844344905
Another party,Nordfyns,2019,463,0.024889796796043435
Another party,Langeland,2019,159,0.01937370537346168
Another party,Ærø,2019,39,0.009701492537313432
Another party,Haderslev,2019,663,0.019402417254397
Another party,Billund,2019,228,0.014597605480504514
Another party,Sønderborg,2019,918,0.020455457016801105
Another party,Tønder,2019,424,0.019181180728342004
Another party,Esbjerg,2019,1380,0.019804253609253464
Another party,Fanø,2019,20,0.00865426222414539
Another party,Varde,2019,570,0.018722901064249113
Another party,Vejen,2019,425,0.016700723043068216
Another party,Aabenraa,2019,695,0.0202405568337362
Another party,Fredericia,2019,595,0.01932445599220526
Another party,Horsens,2019,1148,0.021860420832143197
Another party,Kolding,2019,935,0.016702393712040013
Another party,Vejle,2019,1016,0.014690785002674995
Another party,Herning,2019,845,0.015402843601895734
Another party,Holstebro,2019,541,0.014739537925021796
Another party,Lemvig,2019,213,0.016617256982368545
Another party,Struer,2019,210,0.015671641791044775
Another party,Syddjurs,2019,433,0.01593904144886991
Another party,Norddjurs,2019,471,0.02054704881560005
Another party,Favrskov,2019,493,0.0165037493304767
Another party,Odder,2019,194,0.013228775997272417
Another party,Randers,2019,1110,0.018617601180792004
Another party,Silkeborg,2019,900,0.015310028068384792
Another party,Samsø,2019,30,0.012290045063498567
