party,municipality,year,N,N_pct
F: SF - Socialistisk Folkeparti,Høje-Taastrup,2022,2202,0.08351348276254408
F: SF - Socialistisk Folkeparti,Lyngby-Taarbæk,2022,3641,0.10593232667073987
F: SF - Socialistisk Folkeparti,Rødovre,2022,2365,0.10438275146753763
F: SF - Socialistisk Folkeparti,Ishøj,2022,783,0.07896329164985881
F: SF - Socialistisk Folkeparti,Tårnby,2022,2033,0.0824947248823243
F: SF - Socialistisk Folkeparti,Vallensbæk,2022,633,0.07411310151036178
F: SF - Socialistisk Folkeparti,Furesø,2022,2268,0.09064023659179922
F: SF - Socialistisk Folkeparti,Allerød,2022,1450,0.08748642452033305
F: SF - Socialistisk Folkeparti,Fredensborg,2022,1940,0.08007925369437795
F: SF - Socialistisk Folkeparti,Helsingør,2022,2976,0.07719043419619236
F: SF - Socialistisk Folkeparti,Hillerød,2022,3105,0.0947773266994292
F: SF - Socialistisk Folkeparti,Hørsholm,2022,643,0.04002240756877879
F: SF - Socialistisk Folkeparti,Rudersdal,2022,2306,0.06487550991700661
F: SF - Socialistisk Folkeparti,Egedal,2022,2313,0.08308786550757957
F: SF - Socialistisk Folkeparti,Frederikssund,2022,2241,0.07695741758241759
F: SF - Socialistisk Folkeparti,Greve,2022,1977,0.06699423924093528
F: SF - Socialistisk Folkeparti,Køge,2022,5380,0.14326800170430337
F: SF - Socialistisk Folkeparti,Halsnæs,2022,1630,0.0840596152854417
F: SF - Socialistisk Folkeparti,Roskilde,2022,7043,0.12443023214727394
F: SF - Socialistisk Folkeparti,Solrød,2022,1243,0.0842140921409214
F: SF - Socialistisk Folkeparti,Gribskov,2022,1770,0.06667671212235365
F: SF - Socialistisk Folkeparti,Odsherred,2022,1865,0.08713324612222015
F: SF - Socialistisk Folkeparti,Holbæk,2022,5239,0.11729542147095041
F: SF - Socialistisk Folkeparti,Faxe,2022,2083,0.09206629834254143
F: SF - Socialistisk Folkeparti,Kalundborg,2022,2322,0.07759398496240602
F: SF - Socialistisk Folkeparti,Ringsted,2022,1970,0.09480269489894129
F: SF - Socialistisk Folkeparti,Slagelse,2022,3770,0.07995588640749932
F: SF - Socialistisk Folkeparti,Stevns,2022,1517,0.10045692338255745
F: SF - Socialistisk Folkeparti,Sorø,2022,1909,0.10181333333333334
F: SF - Socialistisk Folkeparti,Lejre,2022,2463,0.1336480546964024
F: SF - Socialistisk Folkeparti,Lolland,2022,1510,0.0631297295037418
F: SF - Socialistisk Folkeparti,Næstved,2022,4494,0.08631518294439643
F: SF - Socialistisk Folkeparti,Guldborgsund,2022,3059,0.08131745441012281
F: SF - Socialistisk Folkeparti,Vordingborg,2022,2934,0.10218723878517692
F: SF - Socialistisk Folkeparti,Bornholm,2022,1582,0.06414727110534425
F: SF - Socialistisk Folkeparti,Middelfart,2022,1890,0.07388873685445092
F: SF - Socialistisk Folkeparti,Christiansø,2022,8,0.13559322033898305
F: SF - Socialistisk Folkeparti,Assens,2022,1663,0.06540291815786368
F: SF - Socialistisk Folkeparti,Faaborg-Midtfyn,2022,2349,0.07202207573202514
F: SF - Socialistisk Folkeparti,Kerteminde,2022,1009,0.06604267574289828
F: SF - Socialistisk Folkeparti,Nyborg,2022,1546,0.0764589515331355
F: SF - Socialistisk Folkeparti,Odense,2022,11950,0.09633367728621178
F: SF - Socialistisk Folkeparti,Svendborg,2022,3253,0.08583792912367734
F: SF - Socialistisk Folkeparti,Nordfyns,2022,1082,0.058922833959592656
F: SF - Socialistisk Folkeparti,Langeland,2022,546,0.06780923994038748
F: SF - Socialistisk Folkeparti,Ærø,2022,237,0.06021341463414634
F: SF - Socialistisk Folkeparti,Haderslev,2022,1614,0.04884248751702224
F: SF - Socialistisk Folkeparti,Billund,2022,489,0.031749123490455784
F: SF - Socialistisk Folkeparti,Sønderborg,2022,2023,0.04663869420877905
F: SF - Socialistisk Folkeparti,Tønder,2022,1074,0.05025266704098821
F: SF - Socialistisk Folkeparti,Esbjerg,2022,4513,0.06574691879607238
F: SF - Socialistisk Folkeparti,Fanø,2022,219,0.09295415959252971
F: SF - Socialistisk Folkeparti,Varde,2022,1188,0.03951438549808748
F: SF - Socialistisk Folkeparti,Vejen,2022,1204,0.04788228275999205
F: SF - Socialistisk Folkeparti,Aabenraa,2022,1454,0.043263508688407525
F: SF - Socialistisk Folkeparti,Fredericia,2022,2050,0.06675350048844025
F: SF - Socialistisk Folkeparti,Horsens,2022,3540,0.06524503750668116
F: SF - Socialistisk Folkeparti,Kolding,2022,4097,0.07361423052735604
F: SF - Socialistisk Folkeparti,Vejle,2022,4945,0.07009610750432342
F: SF - Socialistisk Folkeparti,Herning,2022,2859,0.05266551228677744
F: SF - Socialistisk Folkeparti,Holstebro,2022,2399,0.06593557607739665
F: SF - Socialistisk Folkeparti,Lemvig,2022,677,0.05388840245164372
F: SF - Socialistisk Folkeparti,Struer,2022,856,0.0647307924984876
F: SF - Socialistisk Folkeparti,Syddjurs,2022,2237,0.0797959620460869
F: SF - Socialistisk Folkeparti,Norddjurs,2022,1190,0.05239982386613826
F: SF - Socialistisk Folkeparti,Favrskov,2022,2227,0.07353718134988772
F: SF - Socialistisk Folkeparti,Odder,2022,1510,0.0999536638644337
F: SF - Socialistisk Folkeparti,Randers,2022,3855,0.06419971022698887
F: SF - Socialistisk Folkeparti,Silkeborg,2022,5061,0.08184949784095871
F: SF - Socialistisk Folkeparti,Samsø,2022,273,0.10850556438791734
F: SF - Socialistisk Folkeparti,Skanderborg,2022,3765,0.09296755395328164
F: SF - Socialistisk Folkeparti,Aarhus,2022,25554,0.11427063816086608
F: SF - Socialistisk Folkeparti,Ikast-Brande,2022,1069,0.0439845292955892
F: SF - Socialistisk Folkeparti,Ringkøbing-Skjern,2022,1578,0.046366761672494344
F: SF - Socialistisk Folkeparti,Hedensted,2022,1210,0.04131808092880314
F: SF - Socialistisk Folkeparti,Morsø,2022,461,0.036316369938553646
F: SF - Socialistisk Folkeparti,Skive,2022,1783,0.062521915982888
F: SF - Socialistisk Folkeparti,Thisted,2022,1086,0.04054356753527962
F: SF - Socialistisk Folkeparti,Viborg,2022,4433,0.07468872677034016
F: SF - Socialistisk Folkeparti,Brønderslev,2022,1093,0.04829871851524525
F: SF - Socialistisk Folkeparti,Frederikshavn,2022,1472,0.0403309770398378
F: SF - Socialistisk Folkeparti,Vesthimmerlands,2022,1687,0.0768985322271857
F: SF - Socialistisk Folkeparti,Læsø,2022,61,0.04959349593495935
F: SF - Socialistisk Folkeparti,Rebild,2022,1165,0.060172511750426115
F: SF - Socialistisk Folkeparti,Mariagerfjord,2022,1272,0.048668503213957756
F: SF - Socialistisk Folkeparti,Jammerbugt,2022,1001,0.041181552639157445
F: SF - Socialistisk Folkeparti,Aalborg,2022,9731,0.07029190173147352
F: SF - Socialistisk Folkeparti,Hjørring,2022,1915,0.047962531620206875
O: Dansk Folkeparti,Copenhagen,2022,4862,0.013650976373310123
O: Dansk Folkeparti,Frederiksberg,2022,861,0.013297708037313893
O: Dansk Folkeparti,Ballerup,2022,1181,0.04211690025320067
O: Dansk Folkeparti,Brøndby,2022,905,0.05170542192766954
O: Dansk Folkeparti,Dragør,2022,254,0.027872270382969383
O: Dansk Folkeparti,Gentofte,2022,906,0.020175028392010155
O: Dansk Folkeparti,Gladsaxe,2022,1205,0.03207687802800405
O: Dansk Folkeparti,Glostrup,2022,632,0.049083566324945635
O: Dansk Folkeparti,Herlev,2022,544,0.034423843574004936
O: Dansk Folkeparti,Albertslund,2022,570,0.041445502799389224
O: Dansk Folkeparti,Hvidovre,2022,1358,0.04698311652366455
O: Dansk Folkeparti,Høje-Taastrup,2022,1134,0.04300830583684151
O: Dansk Folkeparti,Lyngby-Taarbæk,2022,743,0.021617060894358615
O: Dansk Folkeparti,Rødovre,2022,1006,0.044401288784922985
O: Dansk Folkeparti,Ishøj,2022,518,0.05223880597014925
O: Dansk Folkeparti,Tårnby,2022,1095,0.044432721960720664
O: Dansk Folkeparti,Vallensbæk,2022,324,0.037934668071654375
O: Dansk Folkeparti,Furesø,2022,440,0.017584525617456638
O: Dansk Folkeparti,Allerød,2022,262,0.015807891878846386
O: Dansk Folkeparti,Fredensborg,2022,591,0.02439527780070998
O: Dansk Folkeparti,Helsingør,2022,964,0.02500389064688489
O: Dansk Folkeparti,Hillerød,2022,713,0.021763682427276335
O: Dansk Folkeparti,Hørsholm,2022,325,0.020229055147516495
O: Dansk Folkeparti,Rudersdal,2022,542,0.015248276832184555
O: Dansk Folkeparti,Egedal,2022,881,0.031647388461814786
O: Dansk Folkeparti,Frederikssund,2022,1242,0.0426510989010989
O: Dansk Folkeparti,Greve,2022,1171,0.0396814639105388
O: Dansk Folkeparti,Køge,2022,1281,0.03411269706007669
O: Dansk Folkeparti,Halsnæs,2022,745,0.0384198855138982
O: Dansk Folkeparti,Roskilde,2022,1460,0.02579414154976856
O: Dansk Folkeparti,Solrød,2022,571,0.03868563685636856
O: Dansk Folkeparti,Gribskov,2022,1020,0.038423868002712275
O: Dansk Folkeparti,Odsherred,2022,1100,0.05139226312838722
O: Dansk Folkeparti,Holbæk,2022,1620,0.0362700100750028
O: Dansk Folkeparti,Faxe,2022,1053,0.0465414364640884
O: Dansk Folkeparti,Kalundborg,2022,1507,0.05035923141186299
O: Dansk Folkeparti,Ringsted,2022,710,0.034167468719923
O: Dansk Folkeparti,Slagelse,2022,1834,0.03889631184916545
O: Dansk Folkeparti,Stevns,2022,627,0.04152042911065492
O: Dansk Folkeparti,Sorø,2022,694,0.037013333333333336
O: Dansk Folkeparti,Lejre,2022,624,0.03385967768191438
O: Dansk Folkeparti,Lolland,2022,1392,0.05819641289351562
O: Dansk Folkeparti,Næstved,2022,2205,0.04235090751944685
O: Dansk Folkeparti,Guldborgsund,2022,3308,0.08793662608325802
O: Dansk Folkeparti,Vordingborg,2022,1227,0.04273474505433268
O: Dansk Folkeparti,Bornholm,2022,1550,0.06284972832698078
O: Dansk Folkeparti,Middelfart,2022,701,0.02740529340474608
O: Dansk Folkeparti,Assens,2022,810,0.03185590120737798
O: Dansk Folkeparti,Faaborg-Midtfyn,2022,962,0.029495630844703358
O: Dansk Folkeparti,Kerteminde,2022,435,0.028472313129990837
O: Dansk Folkeparti,Nyborg,2022,598,0.029574678536102867
O: Dansk Folkeparti,Odense,2022,2570,0.02071778666322714
O: Dansk Folkeparti,Svendborg,2022,936,0.024698524949204423
O: Dansk Folkeparti,Nordfyns,2022,623,0.03392691825954365
O: Dansk Folkeparti,Langeland,2022,285,0.03539493293591654
O: Dansk Folkeparti,Ærø,2022,103,0.02616869918699187
O: Dansk Folkeparti,Haderslev,2022,1168,0.03534574065668029
O: Dansk Folkeparti,Billund,2022,419,0.027204259187118555
O: Dansk Folkeparti,Sønderborg,2022,1266,0.029186646993729252
O: Dansk Folkeparti,Tønder,2022,641,0.029992513569155905
O: Dansk Folkeparti,Esbjerg,2022,1936,0.028204306401328632
O: Dansk Folkeparti,Fanø,2022,36,0.015280135823429542
O: Dansk Folkeparti,Varde,2022,768,0.025544653251288876
O: Dansk Folkeparti,Vejen,2022,768,0.030542851461523166
O: Dansk Folkeparti,Aabenraa,2022,1158,0.034456081885265416
O: Dansk Folkeparti,Fredericia,2022,881,0.02868772386844676
O: Dansk Folkeparti,Horsens,2022,1477,0.027222293897561606
O: Dansk Folkeparti,Kolding,2022,1619,0.029089929027041595
O: Dansk Folkeparti,Vejle,2022,1449,0.020539789640801748
O: Dansk Folkeparti,Herning,2022,1098,0.020226209335740337
O: Dansk Folkeparti,Holstebro,2022,783,0.021520448548812667
O: Dansk Folkeparti,Lemvig,2022,286,0.022765263074106503
O: Dansk Folkeparti,Struer,2022,301,0.02276164549304295
O: Dansk Folkeparti,Syddjurs,2022,672,0.023970892487693515
O: Dansk Folkeparti,Norddjurs,2022,640,0.028181417877586965
O: Dansk Folkeparti,Favrskov,2022,695,0.022949412230880994
O: Dansk Folkeparti,Odder,2022,256,0.016945786721387437
O: Dansk Folkeparti,Randers,2022,1821,0.030326244441853882
O: Dansk Folkeparti,Silkeborg,2022,1137,0.018388239289699675
O: Dansk Folkeparti,Samsø,2022,35,0.013910969793322734
O: Dansk Folkeparti,Skanderborg,2022,709,0.0175070373845622
O: Dansk Folkeparti,Aarhus,2022,2818,0.01260134062523756
O: Dansk Folkeparti,Ikast-Brande,2022,649,0.026703423304805792
O: Dansk Folkeparti,Ringkøbing-Skjern,2022,615,0.01807069608909
O: Dansk Folkeparti,Hedensted,2022,785,0.026805531842240056
O: Dansk Folkeparti,Morsø,2022,292,0.02300299354025524
O: Dansk Folkeparti,Skive,2022,579,0.02030296654744372
O: Dansk Folkeparti,Thisted,2022,508,0.018965131038602256
O: Dansk Folkeparti,Viborg,2022,1066,0.01796033898876215
O: Dansk Folkeparti,Brønderslev,2022,500,0.02209456473707468
O: Dansk Folkeparti,Frederikshavn,2022,954,0.026138418543481836
O: Dansk Folkeparti,Vesthimmerlands,2022,510,0.023247333394110677
O: Dansk Folkeparti,Læsø,2022,58,0.04715447154471545
O: Dansk Folkeparti,Rebild,2022,250,0.012912556169619338
O: Dansk Folkeparti,Mariagerfjord,2022,474,0.018135904499540865
O: Dansk Folkeparti,Jammerbugt,2022,554,0.022791788373719504
O: Dansk Folkeparti,Aalborg,2022,2202,0.01590615225698332
O: Dansk Folkeparti,Hjørring,2022,815,0.02041225236055802
K: Kristendemokraterne,Copenhagen,2022,757,0.00212541939831258
K: Kristendemokraterne,Frederiksberg,2022,141,0.0021776734416507075
K: Kristendemokraterne,Ballerup,2022,117,0.004172461752433936
K: Kristendemokraterne,Brøndby,2022,103,0.0058847054790607325
K: Kristendemokraterne,Dragør,2022,13,0.0014265335235378032
K: Kristendemokraterne,Gentofte,2022,93,0.0020709466230209098
K: Kristendemokraterne,Gladsaxe,2022,130,0.0034605760528137147
K: Kristendemokraterne,Glostrup,2022,43,0.0033395464429947187
K: Kristendemokraterne,Herlev,2022,91,0.005758400303739797
K: Kristendemokraterne,Albertslund,2022,62,0.004508107322038828
K: Kristendemokraterne,Hvidovre,2022,97,0.0033559368945474677
K: Kristendemokraterne,Høje-Taastrup,2022,124,0.0047028482572913114
K: Kristendemokraterne,Lyngby-Taarbæk,2022,74,0.0021529778010532133
K: Kristendemokraterne,Rødovre,2022,104,0.004590192876373748
K: Kristendemokraterne,Ishøj,2022,55,0.00554659136748689
K: Kristendemokraterne,Tårnby,2022,60,0.0024346696964778446
K: Kristendemokraterne,Vallensbæk,2022,36,0.004214963119072708
K: Kristendemokraterne,Furesø,2022,51,0.0020382063783870195
K: Kristendemokraterne,Allerød,2022,43,0.002594425003016773
K: Kristendemokraterne,Fredensborg,2022,85,0.0035086270948567655
K: Kristendemokraterne,Helsingør,2022,96,0.0024900140063287856
K: Kristendemokraterne,Hillerød,2022,173,0.00528066908824517
K: Kristendemokraterne,Hørsholm,2022,31,0.0019295406448400349
K: Kristendemokraterne,Rudersdal,2022,59,0.001659867773245182
K: Kristendemokraterne,Egedal,2022,62,0.0022271714922048997
K: Kristendemokraterne,Frederikssund,2022,66,0.0022664835164835167
K: Kristendemokraterne,Greve,2022,81,0.0027448322602507623
K: Kristendemokraterne,Køge,2022,87,0.0023167873881550917
K: Kristendemokraterne,Halsnæs,2022,47,0.002423804857923779
K: Kristendemokraterne,Roskilde,2022,117,0.0020670647680293983
K: Kristendemokraterne,Solrød,2022,21,0.0014227642276422765
K: Kristendemokraterne,Gribskov,2022,165,0.006215625706321103
K: Kristendemokraterne,Odsherred,2022,44,0.0020556905251354887
K: Kristendemokraterne,Holbæk,2022,117,0.002619500727639091
K: Kristendemokraterne,Faxe,2022,57,0.0025193370165745854
K: Kristendemokraterne,Kalundborg,2022,67,0.0022389306599832916
K: Kristendemokraterne,Ringsted,2022,70,0.003368623676612127
K: Kristendemokraterne,Slagelse,2022,109,0.0023117219146995822
K: Kristendemokraterne,Stevns,2022,33,0.002185285742666049
K: Kristendemokraterne,Sorø,2022,59,0.0031466666666666665
K: Kristendemokraterne,Lejre,2022,59,0.003201475934668186
K: Kristendemokraterne,Lolland,2022,57,0.0023830427693465445
K: Kristendemokraterne,Næstved,2022,124,0.0023816383366945166
K: Kristendemokraterne,Guldborgsund,2022,95,0.002525386782923069
K: Kristendemokraterne,Vordingborg,2022,63,0.0021942045137921425
K: Kristendemokraterne,Bornholm,2022,502,0.020355202335577
K: Kristendemokraterne,Middelfart,2022,97,0.003792173267133195
K: Kristendemokraterne,Christiansø,2022,1,0.01694915254237288
K: Kristendemokraterne,Assens,2022,110,0.004326110040508121
K: Kristendemokraterne,Faaborg-Midtfyn,2022,119,0.0036486279319331598
K: Kristendemokraterne,Kerteminde,2022,64,0.004189029977745778
K: Kristendemokraterne,Nyborg,2022,52,0.0025717111770524235
K: Kristendemokraterne,Odense,2022,458,0.003692119179672385
K: Kristendemokraterne,Svendborg,2022,125,0.003298414122489907
K: Kristendemokraterne,Nordfyns,2022,59,0.003212982628110875
K: Kristendemokraterne,Langeland,2022,29,0.003601589667163438
K: Kristendemokraterne,Ærø,2022,22,0.005589430894308943
K: Kristendemokraterne,Haderslev,2022,319,0.009653502799213193
K: Kristendemokraterne,Billund,2022,142,0.009219581872484093
K: Kristendemokraterne,Sønderborg,2022,210,0.00484138694208779
K: Kristendemokraterne,Tønder,2022,192,0.008983717012914094
K: Kristendemokraterne,Esbjerg,2022,371,0.005404854170915766
K: Kristendemokraterne,Fanø,2022,9,0.0038200339558573855
K: Kristendemokraterne,Varde,2022,277,0.009213371029436222
K: Kristendemokraterne,Vejen,2022,156,0.006204016703121893
K: Kristendemokraterne,Aabenraa,2022,220,0.006546060461794811
K: Kristendemokraterne,Fredericia,2022,197,0.0064148485835232825
K: Kristendemokraterne,Horsens,2022,254,0.004681423595112151
K: Kristendemokraterne,Kolding,2022,376,0.006755906926601383
K: Kristendemokraterne,Vejle,2022,570,0.008079834434269838
K: Kristendemokraterne,Herning,2022,1286,0.0236893490034263
K: Kristendemokraterne,Holstebro,2022,446,0.012258135444151275
K: Kristendemokraterne,Lemvig,2022,169,0.01345220090742657
K: Kristendemokraterne,Struer,2022,155,0.011721113127646702
K: Kristendemokraterne,Syddjurs,2022,88,0.003139045444817008
K: Kristendemokraterne,Norddjurs,2022,88,0.003874944958168208
K: Kristendemokraterne,Favrskov,2022,125,0.0041275921278562935
K: Kristendemokraterne,Odder,2022,68,0.0045012245978685375
K: Kristendemokraterne,Randers,2022,379,0.0063117224840541575
K: Kristendemokraterne,Silkeborg,2022,552,0.00892727184513124
K: Kristendemokraterne,Samsø,2022,5,0.001987281399046105
K: Kristendemokraterne,Skanderborg,2022,153,0.003777964343918218
K: Kristendemokraterne,Aarhus,2022,1053,0.004708733739664709
K: Kristendemokraterne,Ikast-Brande,2022,363,0.014935813034891375
K: Kristendemokraterne,Ringkøbing-Skjern,2022,1421,0.04175359210178356
K: Kristendemokraterne,Hedensted,2022,510,0.017415058903875704
K: Kristendemokraterne,Morsø,2022,54,0.004253978257444462
K: Kristendemokraterne,Skive,2022,199,0.006978048951539378
K: Kristendemokraterne,Thisted,2022,216,0.008063913984917494
K: Kristendemokraterne,Viborg,2022,404,0.006806732599868583
K: Kristendemokraterne,Brønderslev,2022,87,0.003844454264250994
K: Kristendemokraterne,Frederikshavn,2022,173,0.0047399857526439805
K: Kristendemokraterne,Vesthimmerlands,2022,79,0.0036010575257543987
K: Kristendemokraterne,Læsø,2022,9,0.007317073170731708
K: Kristendemokraterne,Rebild,2022,68,0.00351221527813646
K: Kristendemokraterne,Mariagerfjord,2022,92,0.003520048974594429
K: Kristendemokraterne,Jammerbugt,2022,159,0.006541325544081952
K: Kristendemokraterne,Aalborg,2022,493,0.0035611866769721967
K: Kristendemokraterne,Hjørring,2022,213,0.005334735893004734
V: Venstre,Copenhagen,2022,27867,0.07824182611991633
V: Venstre,Frederiksberg,2022,6841,0.10565577315129425
V: Venstre,Ballerup,2022,2527,0.09011804143932099
V: Venstre,Brøndby,2022,1238,0.0707307318745358
V: Venstre,Dragør,2022,1221,0.13398441786458906
V: Venstre,Gentofte,2022,7526,0.16759079876188568
V: Venstre,Gladsaxe,2022,3570,0.09503274237342278
V: Venstre,Glostrup,2022,1358,0.10546753650201926
V: Venstre,Herlev,2022,1300,0.08226286148199709
V: Venstre,Albertslund,2022,700,0.050897985893986766
V: Venstre,Hvidovre,2022,2330,0.08061168004428453
V: Venstre,Høje-Taastrup,2022,2389,0.09060568134410438
V: Venstre,Lyngby-Taarbæk,2022,4390,0.12772395333275144
V: Venstre,Rødovre,2022,1802,0.07953391887716821
V: Venstre,Ishøj,2022,779,0.07855990318676886
V: Venstre,Tårnby,2022,2390,0.09698100957636747
V: Venstre,Vallensbæk,2022,882,0.10326659641728135
V: Venstre,Furesø,2022,3543,0.1415953960514747
V: Venstre,Allerød,2022,2953,0.17817062869554726
V: Venstre,Fredensborg,2022,3602,0.14868323289028318
V: Venstre,Helsingør,2022,4131,0.10714841520983555
V: Venstre,Hillerød,2022,4718,0.1440126980250908
V: Venstre,Hørsholm,2022,3311,0.20608738951823727
V: Venstre,Rudersdal,2022,6524,0.18354198902799268
V: Venstre,Egedal,2022,4310,0.15482434082908256
V: Venstre,Frederikssund,2022,4244,0.14574175824175825
V: Venstre,Greve,2022,5686,0.19268044730599795
V: Venstre,Køge,2022,5296,0.14103110353642948
V: Venstre,Halsnæs,2022,2147,0.11072146872260327
V: Venstre,Roskilde,2022,6924,0.12232783293876541
V: Venstre,Solrød,2022,2536,0.17181571815718158
V: Venstre,Gribskov,2022,3390,0.12770285542077903
V: Venstre,Odsherred,2022,2361,0.11030648476920202
V: Venstre,Holbæk,2022,5230,0.11709392141497817
V: Venstre,Faxe,2022,2631,0.11628729281767956
V: Venstre,Kalundborg,2022,4007,0.1339014202172097
V: Venstre,Ringsted,2022,2645,0.12728585178055823
V: Venstre,Slagelse,2022,6984,0.14811987020423745
V: Venstre,Stevns,2022,1886,0.12489239123236871
V: Venstre,Sorø,2022,2214,0.11808
V: Venstre,Lejre,2022,2411,0.13082641488957622
V: Venstre,Lolland,2022,2411,0.10079852836657051
V: Venstre,Næstved,2022,5668,0.10886392009987515
V: Venstre,Guldborgsund,2022,3810,0.10128130150459887
V: Venstre,Vordingborg,2022,2733,0.09518668152688771
V: Venstre,Bornholm,2022,4633,0.18785986537993674
V: Venstre,Middelfart,2022,3265,0.12764377028030807
V: Venstre,Christiansø,2022,2,0.03389830508474576
V: Venstre,Assens,2022,3940,0.1549533959963818
V: Venstre,Faaborg-Midtfyn,2022,4288,0.13147324850528896
V: Venstre,Kerteminde,2022,1517,0.0992931011912554
V: Venstre,Nyborg,2022,2668,0.13194856577645894
V: Venstre,Odense,2022,13290,0.1071359473752096
V: Venstre,Svendborg,2022,3663,0.09665672744544423
V: Venstre,Nordfyns,2022,2615,0.14240592495779555
V: Venstre,Langeland,2022,1117,0.13872329855936413
V: Venstre,Ærø,2022,379,0.09629065040650407
V: Venstre,Haderslev,2022,5488,0.16607656226357997
V: Venstre,Billund,2022,3593,0.23328139202700948
V: Venstre,Sønderborg,2022,6607,0.1523192548874954
V: Venstre,Tønder,2022,3277,0.15333146172562231
V: Venstre,Esbjerg,2022,10176,0.1482474286879753
V: Venstre,Fanø,2022,206,0.08743633276740238
V: Venstre,Varde,2022,6965,0.23166472642607683
V: Venstre,Vejen,2022,4954,0.19701729966196063
V: Venstre,Aabenraa,2022,5357,0.15939657224470363
V: Venstre,Fredericia,2022,3438,0.11195050472158906
V: Venstre,Horsens,2022,7242,0.133475864865363
V: Venstre,Kolding,2022,8281,0.14879166292336718
V: Venstre,Vejle,2022,12398,0.17574348651943414
V: Venstre,Herning,2022,11723,0.2159488634270346
V: Venstre,Holstebro,2022,8916,0.2450527704485488
V: Venstre,Lemvig,2022,3182,0.2532834514049192
V: Venstre,Struer,2022,2680,0.2026618269812462
V: Venstre,Syddjurs,2022,3669,0.13087679246629094
V: Venstre,Norddjurs,2022,2727,0.12007926023778072
V: Venstre,Favrskov,2022,4555,0.15040945713908335
V: Venstre,Odder,2022,2092,0.13847885086383796
V: Venstre,Randers,2022,8512,0.1417556247606042
V: Venstre,Silkeborg,2022,10475,0.16940792133650318
V: Venstre,Samsø,2022,230,0.09141494435612083
V: Venstre,Skanderborg,2022,5816,0.14361203022371474
V: Venstre,Aarhus,2022,26097,0.1166987886078157
V: Venstre,Ikast-Brande,2022,4795,0.1972926267281106
V: Venstre,Ringkøbing-Skjern,2022,8492,0.2495225222578086
V: Venstre,Hedensted,2022,5411,0.1847703602526891
V: Venstre,Morsø,2022,1947,0.15337954939341422
V: Venstre,Skive,2022,3952,0.13857914299740515
V: Venstre,Thisted,2022,4532,0.16919286194280594
V: Venstre,Viborg,2022,8766,0.14769261873873266
V: Venstre,Brønderslev,2022,3233,0.1428634555899249
V: Venstre,Frederikshavn,2022,4565,0.12507534659433395
V: Venstre,Vesthimmerlands,2022,3861,0.17599598869541436
V: Venstre,Læsø,2022,183,0.14878048780487804
V: Venstre,Rebild,2022,2956,0.15267806414957905
V: Venstre,Mariagerfjord,2022,3047,0.11658249158249158
V: Venstre,Jammerbugt,2022,3761,0.15472909038548566
V: Venstre,Aalborg,2022,18180,0.13132327340234187
V: Venstre,Hjørring,2022,5416,0.13564755679114385
Ø: Enhedslisten,Copenhagen,2022,54246,0.15230581331686158
Ø: Enhedslisten,Frederiksberg,2022,6883,0.10630444183604126
Ø: Enhedslisten,Ballerup,2022,1325,0.04725223779465782
Ø: Enhedslisten,Brøndby,2022,1044,0.05964691767125636
Ø: Enhedslisten,Dragør,2022,266,0.02918907055854274
Ø: Enhedslisten,Gentofte,2022,1809,0.04028325205424544
Ø: Enhedslisten,Gladsaxe,2022,2587,0.06886546345099293
Ø: Enhedslisten,Glostrup,2022,533,0.04139484311898105
Ø: Enhedslisten,Herlev,2022,1072,0.06783522116053914
Ø: Enhedslisten,Albertslund,2022,1254,0.0911801061586563
Ø: Enhedslisten,Hvidovre,2022,1590,0.05500968724052034
Ø: Enhedslisten,Høje-Taastrup,2022,1187,0.045018394204877306
Ø: Enhedslisten,Lyngby-Taarbæk,2022,1582,0.04602717407116465
Ø: Enhedslisten,Rødovre,2022,1351,0.05962837092289359
Ø: Enhedslisten,Ishøj,2022,548,0.05526421944332392
Ø: Enhedslisten,Tårnby,2022,1216,0.04934263918195098
Ø: Enhedslisten,Vallensbæk,2022,306,0.03582718651211802
Ø: Enhedslisten,Furesø,2022,1369,0.0547118535688594
Ø: Enhedslisten,Allerød,2022,599,0.036140943646675514
Ø: Enhedslisten,Fredensborg,2022,996,0.04111285395855692
Ø: Enhedslisten,Helsingør,2022,2036,0.05280904705088966
Ø: Enhedslisten,Hillerød,2022,1594,0.04865541344891792
Ø: Enhedslisten,Hørsholm,2022,305,0.018984190215361633
Ø: Enhedslisten,Rudersdal,2022,1311,0.036882824588549724
Ø: Enhedslisten,Egedal,2022,957,0.03437746964580789
Ø: Enhedslisten,Frederikssund,2022,1137,0.03904532967032967
Ø: Enhedslisten,Greve,2022,656,0.022229752626228397
Ø: Enhedslisten,Køge,2022,954,0.025404772049424797
Ø: Enhedslisten,Halsnæs,2022,991,0.051106183280903515
Ø: Enhedslisten,Roskilde,2022,2861,0.050545917105402634
Ø: Enhedslisten,Solrød,2022,280,0.018970189701897018
Ø: Enhedslisten,Gribskov,2022,1047,0.03944097039101936
Ø: Enhedslisten,Odsherred,2022,861,0.040226125957764904
Ø: Enhedslisten,Holbæk,2022,1537,0.034411731781036604
Ø: Enhedslisten,Faxe,2022,585,0.02585635359116022
Ø: Enhedslisten,Kalundborg,2022,903,0.030175438596491227
Ø: Enhedslisten,Ringsted,2022,727,0.03498556304138595
Ø: Enhedslisten,Slagelse,2022,1344,0.02850416746198384
