municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Solrød,K: Kristendemokraterne,0.004521477015825168,1.1718671720516392e-5,1.9944107041833487e-5,3.188068753466214e-5,2.296064651693578e-5,250
Solrød,Another party,0.0011303692539562926,2.9296679301290993e-6,4.986026760458373e-6,7.970171883665534e-6,5.740161629233946e-6,250
Solrød,Independent candidate,0.0011303692539562926,2.9296679301290993e-6,4.986026760458373e-6,7.970171883665534e-6,5.740161629233946e-6,250
Sorø,A: Socialdemokratiet,0.25734740015071567,0.1584367813239715,0.17263778649967768,0.1892922227065053,0.024362846417662603,250
Sorø,V: Venstre,0.12622456669178583,2.082550537195858e-5,3.854098322112648e-5,6.771644338129351e-5,4.7608081818903997e-5,250
Sorø,F: SF - Socialistisk Folkeparti,0.10587792012057282,1.6432448726132337e-5,2.814906878198468e-5,5.042319418805449e-5,3.0888179202565506e-5,250
Sorø,M: Moderaterne,0.09645817633760359,2.3446370260588003e-5,3.9556703955311536e-5,7.548487723393443e-5,5.23674235224404e-5,250
Sorø,I: Liberal Alliance,0.06066314996232103,4.594184292278212e-6,8.161759569613883e-6,1.617026826118082e-5,1.0075759471005198e-5,250
Sorø,Æ: Danmarksdemokraterne,0.05764883195177086,2.2425978264785577e-5,4.295962751936498e-5,7.809242454674288e-5,5.1484873240953245e-5,250
Sorø,Ø: Enhedslisten,0.05764883195177086,3.615279518592105e-6,6.478389003890928e-6,1.1279758974911803e-5,8.66422803946942e-6,250
Sorø,C: Det Konservative Folkeparti,0.056895252449133384,1.6462195852761438e-6,2.857814346998773e-6,5.66725537979022e-6,4.5814396571062265e-6,250
Sorø,B: Det Radikale Venstre,0.047852298417483057,3.6491782699399194e-6,6.5583604800451676e-6,1.1449751098815505e-5,8.644472454293594e-6,250
Sorø,Å: Alternativet,0.03617181612660133,2.7584339678285996e-6,4.95750083530973e-6,8.654929964458975e-6,6.534404374899093e-6,250
Sorø,Did not vote,0.03466465712132629,0.81058189474536535,0.826990669186723,0.841332746641955,0.02437870125339641,250
Sorø,D: Nye Borgerlige,0.0218538055764883,1.6665538555631122e-6,2.9951567546662966e-6,5.229020186860628e-6,3.947869309834871e-6,250
Sorø,O: Dansk Folkeparti,0.015825169555388076,1.206814860925013e-6,2.168906615448008e-6,3.7865318594507995e-6,2.8588019140183544e-6,250
Sorø,Voted blank,0.012810851544837975,9.769453636059627e-7,1.755781545838864e-6,3.0652876957458846e-6,2.3142682161100973e-6,250
Sorø,Q: Frie Grønne,0.005275056518462694,4.0227162030833785e-7,7.229688718160027e-7,1.2621772864836007e-6,9.529339713394516e-7,250
Sorø,K: Kristendemokraterne,0.004521477015825169,3.4480424597857495e-7,6.196876044137162e-7,1.0818662455573718e-6,8.168005468623867e-7,250
Sorø,Another party,0.0011303692539562922,8.620106149464376e-8,1.549219011034291e-7,2.7046656138934307e-7,2.0420013671559668e-7,250
Sorø,Independent candidate,0.0011303692539562922,8.620106149464376e-8,1.549219011034291e-7,2.7046656138934307e-7,2.0420013671559668e-7,250
Stevns,A: Socialdemokratiet,0.25734740015071644,0.16114547856719655,0.17864635744867619,0.19619144268479327,0.024532835680133484,250
Stevns,V: Venstre,0.12622456669178603,1.9088680810508562e-4,3.10214817207682e-4,5.563620229201137e-4,6.060198033834228e-4,250
Stevns,F: SF - Socialistisk Folkeparti,0.10587792012057275,7.571433710078289e-5,1.3427919864353593e-4,2.1598885347059473e-4,2.008693616546336e-4,250
Stevns,M: Moderaterne,0.09645817633760358,1.4783133912673494e-5,3.1208399805452643e-05,5.5679816177225624e-5,5.6207314030389094e-5,250
Stevns,I: Liberal Alliance,0.06066314996232101,2.8506678833496306e-5,5.899116065619418e-5,9.6684961072128e-5,1.0528109938961324e-4,250
Stevns,Æ: Danmarksdemokraterne,0.057648831951770896,2.0434332829714794e-4,3.5455701724825125e-4,5.685892579795411e-4,5.852580676793033e-4,250
Stevns,Ø: Enhedslisten,0.057648831951770896,1.4861377513879172e-5,2.9008228929215927e-5,5.433087763768237e-5,5.300863268336281e-5,250
Stevns,C: Det Konservative Folkeparti,0.05689525244913338,5.6105866723562215e-6,1.2924365644948174e-5,2.6474427554059435e-5,3.3829066314467146e-5,250
Stevns,B: Det Radikale Venstre,0.047852298417483105,1.4354236643837123e-5,2.901357012287502e-5,5.689274099928851e-5,5.2089485068030985e-5,250
Stevns,Å: Alternativet,0.03617181612660139,1.0850446596916252e-5,2.193151757319687e-5,4.3005536503399214e-5,3.937472887032263e-5,250
Stevns,Did not vote,0.034664657121326284,0.8017538642991658,0.8199327890951151,0.8378861738815347,0.02482172204905352,250
