draw,predicted_vote_party,share
48,Danmarksdemokraterne (Æ),0.05953902376097764
48,Socialistisk Folkeparti (F),0.0956172004386045
48,Liberal Alliance (I),0.09670360508496145
48,Other,0.0059046982217155555
49,Did not vote,0.04386233218223989
49,Socialdemokratiet (A),0.2644806894882855
49,Venstre (V),0.11024592317062001
49,Other - Right,0.10760022320064289
49,Other - Left,0.13108537230214024
49,Moderaterne (M),0.08488860859173343
49,Danmarksdemokraterne (Æ),0.059539465347727145
49,Socialistisk Folkeparti (F),0.09546092901805003
49,Liberal Alliance (I),0.09692533162073588
49,Other,0.005911125077824959
50,Did not vote,0.04344449803830503
50,Socialdemokratiet (A),0.26491178361574125
50,Venstre (V),0.11030952347334423
50,Other - Right,0.10777451085851993
50,Other - Left,0.1310744062729259
50,Moderaterne (M),0.08481187089602485
50,Danmarksdemokraterne (Æ),0.05953895763861299
50,Socialistisk Folkeparti (F),0.09546146388950992
50,Liberal Alliance (I),0.09676646506684011
50,Other,0.0059065202501758065
51,Did not vote,0.04343665734261109
51,Socialdemokratiet (A),0.26501884162397443
51,Venstre (V),0.11024884373981082
51,Other - Right,0.1076724817386479
51,Other - Left,0.13110671704184396
51,Moderaterne (M),0.08481268687827524
51,Danmarksdemokraterne (Æ),0.059542455026689554
51,Socialistisk Folkeparti (F),0.09545884783088548
51,Liberal Alliance (I),0.0967951180070788
51,Other,0.0059073507701827245
52,Did not vote,0.04357305556396803
52,Socialdemokratiet (A),0.26481142016322523
52,Venstre (V),0.11024552221822019
52,Other - Right,0.10757089999945503
52,Other - Left,0.13114699155047438
52,Moderaterne (M),0.08479112275692942
52,Danmarksdemokraterne (Æ),0.05953903001238243
52,Socialistisk Folkeparti (F),0.0956603512580546
52,Liberal Alliance (I),0.0967554067578114
52,Other,0.005906199719479322
53,Did not vote,0.043699424230903894
53,Socialdemokratiet (A),0.2646014221749662
53,Venstre (V),0.11030806320739084
53,Other - Right,0.10778165164530762
53,Other - Left,0.13117395708848292
53,Moderaterne (M),0.08478754461196569
53,Danmarksdemokraterne (Æ),0.05968076629256994
53,Socialistisk Folkeparti (F),0.09546129787515642
53,Liberal Alliance (I),0.09660406001586272
53,Other,0.005901812857393853
54,Did not vote,0.0434407755235247
54,Socialdemokratiet (A),0.26486046760397053
54,Venstre (V),0.11024565763931694
54,Other - Right,0.1077625923291657
54,Other - Left,0.1311591463192343
54,Moderaterne (M),0.08483992637563123
54,Danmarksdemokraterne (Æ),0.05953902210387158
54,Socialistisk Folkeparti (F),0.09546074886783855
54,Liberal Alliance (I),0.09678461684866702
54,Other,0.005907046388779485
55,Did not vote,0.043279109783007585
55,Socialdemokratiet (A),0.2651527258999855
55,Venstre (V),0.11024365228016482
55,Other - Right,0.10774626909040942
55,Other - Left,0.13109141477176772
55,Moderaterne (M),0.08480994436740183
55,Danmarksdemokraterne (Æ),0.05953959100891675
55,Socialistisk Folkeparti (F),0.0954594849392108
55,Liberal Alliance (I),0.09677115176270287
55,Other,0.005906656096432698
56,Did not vote,0.043761230383389825
56,Socialdemokratiet (A),0.26426882416368247
56,Venstre (V),0.11025377175984666
56,Other - Right,0.10779202130700238
56,Other - Left,0.13122860666411745
56,Moderaterne (M),0.08495637548527733
56,Danmarksdemokraterne (Æ),0.0595391103903817
56,Socialistisk Folkeparti (F),0.09570571024653747
56,Liberal Alliance (I),0.09659286134162415
56,Other,0.005901488258140561
57,Did not vote,0.04324002410345463
57,Socialdemokratiet (A),0.2649827881059317
57,Venstre (V),0.11033788636498514
57,Other - Right,0.10772762049994994
57,Other - Left,0.13107740957934522
57,Moderaterne (M),0.08496630381639693
57,Danmarksdemokraterne (Æ),0.059538736713561066
57,Socialistisk Folkeparti (F),0.09546034921484821
57,Liberal Alliance (I),0.09676247694897082
57,Other,0.005906404652556406
58,Did not vote,0.04354190453344866
58,Socialdemokratiet (A),0.2647112554043398
58,Venstre (V),0.11027348750814336
58,Other - Right,0.10778118818949117
58,Other - Left,0.1313635522342694
58,Moderaterne (M),0.08484066877772199
58,Danmarksdemokraterne (Æ),0.05953881693703431
58,Socialistisk Folkeparti (F),0.09546028238857598
