draw,predicted_vote_party,share
58,Liberal Alliance (I),0.09658751085539224
58,Other,0.005901333171583115
59,Did not vote,0.043630351529914825
59,Socialdemokratiet (A),0.2647990141540346
59,Venstre (V),0.11020859490472884
59,Other - Right,0.10776115604473237
59,Other - Left,0.13110636596526923
59,Moderaterne (M),0.08479047989061127
59,Danmarksdemokraterne (Æ),0.05953894270596996
59,Socialistisk Folkeparti (F),0.0954668951732144
59,Liberal Alliance (I),0.0967909691189682
59,Other,0.005907230512556331
60,Did not vote,0.043565405832713754
60,Socialdemokratiet (A),0.2648437921059113
60,Venstre (V),0.11024879903161504
60,Other - Right,0.10771683966364644
60,Other - Left,0.13108542139741172
60,Moderaterne (M),0.08482028376390238
60,Danmarksdemokraterne (Æ),0.059538400020511244
60,Socialistisk Folkeparti (F),0.09545903331639823
60,Liberal Alliance (I),0.09681412322191485
60,Other,0.005907901645975074
61,Did not vote,0.04377497755852979
61,Socialdemokratiet (A),0.26457369806689357
61,Venstre (V),0.11028035366348227
61,Other - Right,0.10773045023688357
61,Other - Left,0.13105126231931244
61,Moderaterne (M),0.08485430692694225
61,Danmarksdemokraterne (Æ),0.05953917122415713
61,Socialistisk Folkeparti (F),0.09546018617248732
61,Liberal Alliance (I),0.09682730996101489
61,Other,0.005908283870296814
62,Did not vote,0.04352479188249323
62,Socialdemokratiet (A),0.264519844687463
62,Venstre (V),0.11029469904118949
62,Other - Right,0.10780795615411187
62,Other - Left,0.1314340106624117
62,Moderaterne (M),0.08481323301034856
62,Danmarksdemokraterne (Æ),0.05953818669421452
62,Socialistisk Folkeparti (F),0.0954606088351549
62,Liberal Alliance (I),0.09670201684678632
62,Other,0.005904652185826422
63,Did not vote,0.043119888189642824
63,Socialdemokratiet (A),0.26482425108460655
63,Venstre (V),0.11039209929570272
63,Other - Right,0.10767360551828697
63,Other - Left,0.1314133744435982
63,Moderaterne (M),0.08491765044358918
63,Danmarksdemokraterne (Æ),0.05953928859992969
63,Socialistisk Folkeparti (F),0.09565772465562818
63,Liberal Alliance (I),0.09656153744976949
63,Other,0.005900580319246223
64,Did not vote,0.04340266423235675
64,Socialdemokratiet (A),0.2649282808950329
64,Venstre (V),0.11026805316283293
64,Other - Right,0.10776242791684734
64,Other - Left,0.13116205003708853
64,Moderaterne (M),0.08479210480213564
64,Danmarksdemokraterne (Æ),0.059538705495602175
64,Socialistisk Folkeparti (F),0.09546125607775277
64,Liberal Alliance (I),0.09677761397346153
64,Other,0.005906843406889471
65,Did not vote,0.04350209797700504
65,Socialdemokratiet (A),0.26481240404807826
65,Venstre (V),0.11025431764728481
65,Other - Right,0.10771699684074132
65,Other - Left,0.13113823594893217
65,Moderaterne (M),0.08485848168992378
65,Danmarksdemokraterne (Æ),0.059539029509684364
65,Socialistisk Folkeparti (F),0.09556224617490382
65,Liberal Alliance (I),0.09671126977675144
65,Other,0.005904920386694976
66,Did not vote,0.04330172588687253
66,Socialdemokratiet (A),0.2650695224699276
66,Venstre (V),0.11026947370146177
66,Other - Right,0.10778960569091577
66,Other - Left,0.13113550071381816
66,Moderaterne (M),0.0848006775604444
66,Danmarksdemokraterne (Æ),0.05953885664158261
66,Socialistisk Folkeparti (F),0.09545926644135252
66,Liberal Alliance (I),0.09672991020467117
66,Other,0.005905460688953518
67,Did not vote,0.043624132955634304
67,Socialdemokratiet (A),0.26470173361828503
67,Venstre (V),0.11031960130803813
67,Other - Right,0.10774065586273365
67,Other - Left,0.13107822231472033
67,Moderaterne (M),0.08479551669420898
67,Danmarksdemokraterne (Æ),0.05953971124465884
67,Socialistisk Folkeparti (F),0.09545866842135635
67,Liberal Alliance (I),0.09683330008333374
67,Other,0.005908457497030694
68,Did not vote,0.04346726850502233
68,Socialdemokratiet (A),0.2647557103294741
68,Venstre (V),0.11023728067409466
68,Other - Right,0.1077918970037007
68,Other - Left,0.13111720560793574
68,Moderaterne (M),0.08498814893475212
68,Danmarksdemokraterne (Æ),0.05953919593210854
68,Socialistisk Folkeparti (F),0.09546073634784556
68,Liberal Alliance (I),0.09673689356001583
68,Other,0.005905663105050465
69,Did not vote,0.04365450128714353
69,Socialdemokratiet (A),0.2646338023979275
69,Venstre (V),0.11027536386169584
69,Other - Right,0.10774380933395968
69,Other - Left,0.13119713447885453
69,Moderaterne (M),0.0848958801953198
69,Danmarksdemokraterne (Æ),0.05953842932556441
69,Socialistisk Folkeparti (F),0.09545964726387814
69,Liberal Alliance (I),0.09669692719594163
69,Other,0.00590450465971498
70,Did not vote,0.043466379714018906
