Did not vote,Socialdemokratiet (A),Venstre (V),Other - Right,Other - Left,Moderaterne (M),Danmarksdemokraterne (Æ),Socialistisk Folkeparti (F),Liberal Alliance (I),Other
0.04362237844379107,0.2647049277398314,0.11022309524067309,0.1077929543856832,0.1310680500956228,0.08491959096116963,0.0595781976123963,0.09559670663155596,0.09659261769340328,0.005901481195873289
0.04381663906468318,0.26448059507518784,0.11025560031902978,0.10774865365896408,0.13109090281063301,0.08495068029151165,0.05954207478864927,0.09556741784651683,0.0966444524910483,0.005902983653776044
0.04369823557100816,0.2645894968946672,0.11024497372589885,0.10770731487633829,0.13107999766221154,0.08485786366755545,0.05953885229448829,0.09545802879067522,0.0969144275007801,0.005910809016376965
0.0434072456463655,0.26503630204562706,0.11023516054424015,0.1077051498948127,0.1311076673493438,0.08481320814825463,0.05953919731965546,0.09546022348514709,0.09678868136568662,0.005907164200867009
0.043591693480160336,0.26480216833645875,0.11029045146807559,0.1077744716422396,0.1310559122595791,0.08481937059546558,0.05953835777452035,0.09548317401265331,0.09673868538873266,0.00590571504211472
0.0435503697342657,0.2648228678663225,0.11028868333934277,0.10777498203197643,0.131070788903457,0.0848322531025885,0.059539520490364845,0.09546064031018109,0.09675374273457936,0.005906151486921872
0.04355617541989079,0.26459440181674704,0.11030047799882793,0.10764924369465956,0.13116201823464999,0.08495428817143907,0.059539577164621604,0.09546137761844443,0.09687283640339722,0.005909603477322389
0.04352256724216552,0.26477589702760335,0.11026058496089845,0.10771925361146494,0.13124270190901693,0.08480672083544395,0.05954003023392464,0.09545850847304477,0.09676719431853151,0.005906541387905992
0.044033217686942565,0.2642592052302041,0.1102627705500114,0.1077972729583882,0.1311820532644422,0.0848076974423603,0.05953831292256384,0.09546000122641059,0.09675332921775004,0.005906139500926819
0.04395059305164018,0.2644219466870912,0.11024223065667994,0.10783584577191377,0.13117418823985452,0.08481318131631724,0.059539209893771296,0.09546011899154316,0.09665927218117705,0.00590341321001166
0.043750016671238415,0.26468051897747186,0.11021578179793252,0.10767938972989233,0.13110391907540536,0.08482014953096467,0.059539760578174165,0.09546208332627892,0.09683973625977235,0.005908644052869495
0.04370228969886624,0.2646538633641086,0.11023941196217504,0.10762957730406733,0.13105470185848742,0.08502974974185748,0.059538928132264975,0.09546056855809057,0.0967838842267216,0.005907025153360778
0.04364532932908958,0.26477876194043215,0.11024445283120193,0.10773745396250148,0.13116131224637576,0.08487997548687157,0.05953917750695805,0.09546057064570122,0.09664982662509099,0.005903139425777281
0.04361701148583077,0.2646582243877887,0.11026672633796832,0.1077037559671246,0.13113428121274293,0.08485427816120317,0.05953877398707752,0.09546099873376634,0.09685681076056184,0.005909138965935857
0.043086844967068175,0.26523974513731124,0.11035001256983261,0.10775939492537075,0.1310840054599039,0.08482358664774735,0.059538621002636107,0.09546252996366211,0.09674923839996942,0.005906020926498395
0.0437407395618376,0.26457392135245406,0.11023024599492984,0.10766369213107674,0.13113190184386894,0.08483500565763494,0.05953881248040279,0.09545978815220403,0.09691506532165259,0.005910827503938487
0.04361523167391367,0.2645922560817556,0.1102389527096594,0.1077801197408756,0.13123911997070112,0.08483122876075005,0.0595380755964855,0.09565377971617033,0.09660927182535314,0.005901963924335604
0.04383734754850256,0.2645479653485424,0.11026159539543885,0.10773740919424224,0.1310742870667857,0.08477540027354394,0.059742152581563485,0.09546227579507396,0.09665818509601024,0.005903381700296679
0.04359029328987442,0.26457281253922393,0.11027603852135442,0.10774636469716278,0.13110521606605147,0.08488795179318179,0.05953905358475024,0.09545955135343667,0.0969119800783674,0.005910738076596887
0.04378687080634416,0.2645764467746983,0.11024745545290991,0.10770662906984908,0.1311832518748799,0.08479549718600807,0.059538225382859654,0.0956009747794165,0.09666118015930877,0.005903468513725623
0.04334660591439788,0.2648694837498558,0.11032997176992734,0.10776474515746871,0.13111581800720581,0.084927145983081,0.059540855805553225,0.09545889661263046,0.09674070346286279,0.005905773537017043
0.04370254994479846,0.26454054707273905,0.11033664955208873,0.10783119823956139,0.13110072655331156,0.08502388268915273,0.059539046661711795,0.09546029310317293,0.09656444168352844,0.0059006644999348885
0.04338870558763062,0.26472117948704665,0.11022863510515886,0.10771072693412345,0.13142567607639977,0.08479335222977684,0.05953877012711968,0.09546024764207742,0.0968245042648951,0.005908202545771603
0.04345811363216959,0.2646816434411254,0.11042109820002077,0.10778250682349513,0.13119196979558828,0.08484419706136592,0.059539170772840065,0.09545836898858633,0.09671782100737102,0.005905110277437572
0.04373847165601037,0.26468464061993185,0.11029031982937534,0.1076858465954049,0.13107297388893172,0.08478722191311926,0.059538865745451086,0.09546140228904118,0.09683184222253827,0.005908415240196043
0.043677737630763845,0.2647873016338556,0.11024151574692803,0.10774875286954466,0.1310525507475797,0.08485425215312982,0.05953912849025055,0.09546187216413189,0.09673138512358934,0.005905503440226508
0.043688950320013895,0.264535214112643,0.11031011550563972,0.1076300947929979,0.13113376386191578,0.08488732368938347,0.05953950547543968,0.095622536677448,0.09674655249046944,0.0059059430740491204
