municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Billund,Socialistisk Folkeparti (F),0.05645661593444776,0.05645730788069923,0.056457761684887725,0.05645925129198963,5.0916941349184256e-5,250
Billund,Did not vote,0.04797367577432976,0.04781156075697676,0.04787180538113789,0.04791874800219943,1.0167014235034864e-4,250
Billund,Other,0.005664185746175526,0.005664742844008545,0.0056665933997185475,0.005668438279573924,3.118586107586834e-6,250
Bornholm,Socialdemokratiet (A),0.3441130658290191,0.344132827888301,0.3441890234196023,0.3442523410366353,1.0541079682415512e-4,250
Bornholm,Venstre (V),0.1262080907848169,0.12617901792915853,0.12619556827281306,0.1262214136413532,3.779751919374039e-5,250
Bornholm,Other - Right,0.1132363202634751,0.11309864592403544,0.1131529523533456,0.1131938705177641,7.390365704844162e-5,250
Bornholm,Liberal Alliance (I),0.08323405598752204,0.08320134393248127,0.08327529899990357,0.08334565200386149,1.1154858171872729e-4,250
Bornholm,Moderaterne (M),0.07803503955995371,0.07805032873550728,0.07806768518545493,0.07809718303286606,4.5372071886573895e-5,250
Bornholm,Other - Left,0.07381853449754996,0.0737542206872009,0.07377574495475145,0.07380647609441432,4.677239556844254e-5,250
Bornholm,Danmarksdemokraterne (Æ),0.07245238152145157,0.07245300417228301,0.0724535465361414,0.07245407636726045,2.6576013924949777e-5,250
Bornholm,Socialistisk Folkeparti (F),0.05589650856311998,0.05589679103526256,0.055897318195721316,0.05589884663341598,5.29107997468204e-5,250
Bornholm,Did not vote,0.047513335564370006,0.0473956743711905,0.04746198944295688,0.04752068493821186,1.0571950425322968e-4,250
Bornholm,Other,0.0054926674287215805,0.005491719253213153,0.005493862878355829,0.0054959020958618545,3.233292223731215e-6,250
Brøndby,Socialdemokratiet (A),0.29851396505574923,0.29852083196524215,0.29862394899238637,0.298744096719548,1.8045645751747565e-4,250
Brøndby,Liberal Alliance (I),0.13076674910260017,0.13072680266810388,0.13079942072819645,0.1308572356730847,1.1662663251970173e-4,250
Brøndby,Other - Right,0.11762123066852943,0.11751520554662098,0.11756227851883216,0.1176028927468379,7.627720298799958e-5,250
Brøndby,Other - Left,0.09172598243968554,0.09165242686066163,0.09168331576794109,0.09173744542583094,7.748804248554121e-5,250
Brøndby,Venstre (V),0.0862859190510239,0.08625459934240118,0.08627791505532198,0.08632602165975882,5.725869695519246e-5,250
Brøndby,Moderaterne (M),0.07133084391685404,0.07135465238052471,0.07138264891535795,0.0714339021057161,6.918869444811474e-5,250
Brøndby,Danmarksdemokraterne (Æ),0.06926765458699746,0.06926852817662277,0.06926894522508614,0.06926947433930829,2.366305096918693e-5,250
Brøndby,Socialistisk Folkeparti (F),0.06792333954138767,0.06792433364471707,0.06792489357635932,0.06792616967016002,4.987786478512144e-5,250
Brøndby,Did not vote,0.05970100390738171,0.05943115934921408,0.05954310946432981,0.05967616311741187,1.7941060262245776e-4,250
Brøndby,Other,0.006863311729790841,0.006862153862124281,0.006864258733431314,0.00686593452893532,3.380482102020352e-6,250
Brønderslev,Socialdemokratiet (A),0.3352204621606519,0.3351922282171931,0.33525330134244735,0.3353173584113374,1.0271036358030883e-4,250
Brønderslev,Liberal Alliance (I),0.12251909926130428,0.12247137941036379,0.12253461194078213,0.12258900351490853,1.0779967756172765e-4,250
Brønderslev,Venstre (V),0.11595438248440894,0.11592282205305016,0.11593860602978018,0.11596554534911004,3.710832931426446e-5,250
Brønderslev,Other - Right,0.11000163210377839,0.10992484324664678,0.10997377318392731,0.11001111787049178,7.705041841626568e-5,250
Brønderslev,Danmarksdemokraterne (Æ),0.08017057297384692,0.08017167728374329,0.08017212392357789,0.08017264782134598,2.426022780321729e-5,250
Brønderslev,Other - Left,0.07115308985309027,0.07110079170935325,0.07112016229546252,0.07114966071675899,4.878484173854645e-5,250
Brønderslev,Socialistisk Folkeparti (F),0.0582965331773837,0.05829733194295072,0.05829782119346455,0.05829940956905793,4.910754631286899e-5,250
Brønderslev,Moderaterne (M),0.0570068446194091,0.05702081184077193,0.057035941401177695,0.05706754657851522,4.5363091223206803e-05,250
Brønderslev,Did not vote,0.04371010094609533,0.04360439522813617,0.04367897877071245,0.043736548955264944,1.0442041288954965e-4,250
Brønderslev,Other,0.005967282420031256,0.005965899235946024,0.0059677320629146725,0.0059693086302806545,3.1246283351225666e-6,250
Copenhagen,Other - Left,0.3575797367645781,0.3573882523184408,0.35744670325516614,0.35754414474867846,1.378409769896703e-4,250
Copenhagen,Socialdemokratiet (A),0.17076801477024148,0.17084632987966525,0.17105000561326572,0.17133973441596012,3.952958419546272e-4,250
Copenhagen,Socialistisk Folkeparti (F),0.11912386716452937,0.11912602913549437,0.11912716650219964,0.11912886293666232,7.67473644334945e-5,250
Copenhagen,Liberal Alliance (I),0.07948104497514535,0.0794732697673409,0.07953264231504847,0.07959597724546758,1.1740386644055605e-4,250
Copenhagen,Other - Right,0.07726842981324503,0.07719020772791348,0.07722770074236418,0.07725373277469946,4.96941188117978e-5,250
Copenhagen,Moderaterne (M),0.06697757325267736,0.06702314032021076,0.06708360278039838,0.06717095294294426,1.309811035511109e-4,250
Copenhagen,Venstre (V),0.061252832430832724,0.061191967364431735,0.061244014580160266,0.061329620432730554,1.1687573698591616e-4,250
Copenhagen,Did not vote,0.03921404947638238,0.03853440131235202,0.03879991448175407,0.03904343174649862,3.917023489428793e-4,250
Copenhagen,Danmarksdemokraterne (Æ),0.02341436310089218,0.023414715249775855,0.023414836050199526,0.023415012699739366,3.414772748801485e-5,250
Copenhagen,Other,0.004920088251476042,0.004919862883133883,0.004921583826545697,0.004923419621630309,3.4030106214653893e-6,250
Dragør,Socialdemokratiet (A),0.25581102221035146,0.2557685498289277,0.2558523708348107,0.2559754859957802,1.7076133654393835e-4,250
Dragør,Other - Right,0.1631891977718691,0.16296614554698646,0.1630342197459997,0.16308982822915566,1.0611617222561871e-4,250
Dragør,Venstre (V),0.11476392824435594,0.11471479765424206,0.11473715618158856,0.11477736440946686,5.449632247218589e-5,250
Dragør,Other - Left,0.10336996803274325,0.1033022477343192,0.10333296935974288,0.10338048130728589,7.518305059797244e-5,250
Dragør,Moderaterne (M),0.09542936528027973,0.09545615504683452,0.09547964804218306,0.09552347254203322,6.281165313012565e-5,250
Dragør,Liberal Alliance (I),0.09189292692618106,0.09194728793269064,0.09204259325924932,0.0921153730840128,1.3975478001088636e-4,250
Dragør,Socialistisk Folkeparti (F),0.08391829764568681,0.08392065438790476,0.0839212964720169,0.08392260759672038,5.1634455622049265e-5,250
Dragør,Danmarksdemokraterne (Æ),0.05061329662832885,0.05061452947038694,0.050614871353602944,0.050615192208100374,2.539988522108782e-5,250
Dragør,Did not vote,0.03469855498064761,0.034485192833414384,0.034610249320778705,0.03472196173477965,1.7524474031695676e-4,250
Dragør,Other,0.0063134422795562296,0.0063150179609043336,0.006317780434137919,0.00631988999427599,4.05086318872137e-6,250
Egedal,Socialdemokratiet (A),0.2880534112843258,0.28800906964153483,0.2880860198333758,0.288186498732094,1.5728923142970013e-4,250
Egedal,Other - Right,0.117195568592667,0.11703298007770703,0.11708122616220493,0.1171233758842149,7.504529888314528e-5,250
