municipality,predicted_vote_party,expected_N,total_N,point_estimate
Billund,Moderaterne (M),1464.164136174819,17752,0.08247882695892401
Billund,Other,100.55062536610794,17752,0.005664185746175526
Billund,Other - Left,1146.1684168167174,17752,0.06456559355659741
Billund,Other - Right,1956.9413640563203,17752,0.11023779653314107
Billund,Socialdemokratiet (A),4866.449678001854,17752,0.2741352905589147
Billund,Socialistisk Folkeparti (F),1002.2178460683166,17752,0.05645661593444776
Billund,Venstre (V),2880.1198388243806,17752,0.16224199182201332
Bornholm,Danmarksdemokraterne (Æ),2104.8865879612113,29052,0.07245238152145157
Bornholm,Did not vote,1380.3574248160774,29052,0.047513335564370006
Bornholm,Liberal Alliance (I),2418.11579454949,29052,0.08323405598752204
Bornholm,Moderaterne (M),2267.073969295775,29052,0.07803503955995371
Bornholm,Other,159.57297413921935,29052,0.0054926674287215805
Bornholm,Other - Left,2144.5760642228215,29052,0.07381853449754996
Bornholm,Other - Right,3289.741576294479,29052,0.1132363202634751
Bornholm,Socialdemokratiet (A),9997.172788464664,29052,0.3441130658290191
Bornholm,Socialistisk Folkeparti (F),1623.9053667757616,29052,0.05589650856311998
Bornholm,Venstre (V),3666.597453480501,29052,0.1262080907848169
Brøndby,Danmarksdemokraterne (Æ),1626.7508679756354,23485,0.06926765458699746
Brøndby,Did not vote,1402.0780767648594,23485,0.05970100390738171
Brøndby,Liberal Alliance (I),3071.057102674565,23485,0.13076674910260017
Brøndby,Moderaterne (M),1675.2048693873173,23485,0.07133084391685404
Brøndby,Other,161.1848759741379,23485,0.006863311729790841
Brøndby,Other - Left,2154.1846975960148,23485,0.09172598243968554
Brøndby,Other - Right,2762.334602250414,23485,0.11762123066852943
Brøndby,Socialdemokratiet (A),7010.600469334271,23485,0.29851396505574923
Brøndby,Socialistisk Folkeparti (F),1595.1796291294893,23485,0.06792333954138767
Brøndby,Venstre (V),2026.4248089132961,23485,0.0862859190510239
Brønderslev,Danmarksdemokraterne (Æ),2090.6882020119797,26078,0.08017057297384692
Brønderslev,Did not vote,1139.872012472274,26078,0.04371010094609533
Brønderslev,Liberal Alliance (I),3195.053070536293,26078,0.12251909926130428
Brønderslev,Moderaterne (M),1486.6244939849505,26078,0.0570068446194091
Brønderslev,Other,155.6147909495751,26078,0.005967282420031256
Brønderslev,Other - Left,1855.530277188888,26078,0.07115308985309027
Brønderslev,Other - Right,2868.622562002333,26078,0.11000163210377839
Brønderslev,Socialdemokratiet (A),8741.87921222548,26078,0.3352204621606519
Brønderslev,Socialistisk Folkeparti (F),1520.2569921998122,26078,0.0582965331773837
Brønderslev,Venstre (V),3023.8583864284165,26078,0.11595438248440894
Copenhagen,Danmarksdemokraterne (Æ),10007.415861136822,427405,0.02341436310089218
Copenhagen,Did not vote,16760.28081645321,427405,0.03921404947638238
Copenhagen,Liberal Alliance (I),33970.596027602,427405,0.07948104497514535
Copenhagen,Moderaterne (M),28626.549696060567,427405,0.06697757325267736
Copenhagen,Other,2102.8703191221175,427405,0.004920088251476042
Copenhagen,Other - Left,152831.3673918645,427405,0.3575797367645781
Copenhagen,Other - Right,33024.91324432999,427405,0.07726842981324503
Copenhagen,Socialdemokratiet (A),72987.10335287506,427405,0.17076801477024148
Copenhagen,Socialistisk Folkeparti (F),50914.136445455675,427405,0.11912386716452937
Copenhagen,Venstre (V),26179.76684510006,427405,0.061252832430832724
Dragør,Danmarksdemokraterne (Æ),505.93051309677514,9996,0.05061329662832885
Dragør,Did not vote,346.8467555865535,9996,0.03469855498064761
Dragør,Liberal Alliance (I),918.5616975541059,9996,0.09189292692618106
Dragør,Moderaterne (M),953.9119353416762,9996,0.09542936528027973
Dragør,Other,63.10916902644407,9996,0.0063134422795562296
Dragør,Other - Left,1033.2862004553015,9996,0.10336996803274325
Dragør,Other - Right,1631.2392209276036,9996,0.1631891977718691
Dragør,Socialdemokratiet (A),2557.086978014673,9996,0.25581102221035146
Dragør,Socialistisk Folkeparti (F),838.8473032662854,9996,0.08391829764568681
Dragør,Venstre (V),1147.180226730582,9996,0.11476392824435594
Egedal,Danmarksdemokraterne (Æ),1775.5394860271676,31325,0.05668122860421924
Egedal,Did not vote,1155.5665464192086,31325,0.036889594458713766
Egedal,Liberal Alliance (I),3362.6461934963654,31325,0.107347045283204
Egedal,Moderaterne (M),2996.6349933012198,31325,0.09566272923547389
Egedal,Other,180.0532584704831,31325,0.005747909288762429
Egedal,Other - Left,3007.6447161996666,31325,0.09601419684595904
Egedal,Other - Right,3671.151186165294,31325,0.117195568592667
Egedal,Socialdemokratiet (A),9023.273108481506,31325,0.2880534112843258
Egedal,Socialistisk Folkeparti (F),3034.2415587161777,31325,0.0968632580595747
Egedal,Venstre (V),3118.2489527229127,31325,0.09954505834710016
