MunicipalityCode,MunicipalityName,Age,Sex,Education,N
0120,Värmdö,31-40,Male,Tertiary 2yr+,583.3
0120,Värmdö,31-40,Male,Tertiary <2yr,543.9
0120,Värmdö,31-40,Male,Upper secondary,1204.1
0120,Värmdö,41-50,Female,Postgraduate,36.7
0120,Värmdö,41-50,Female,Primary 9-10yr,99.0
0120,Värmdö,41-50,Female,Primary <9yr,30.4
0120,Värmdö,41-50,Female,Tertiary 2yr+,1279.5
0120,Värmdö,41-50,Female,Tertiary <2yr,519.3
0120,Värmdö,41-50,Female,Upper secondary,919.9
0120,Värmdö,41-50,Male,Postgraduate,24.9
0120,Värmdö,41-50,Male,Primary 9-10yr,233.1
0120,Värmdö,41-50,Male,Primary <9yr,19.6
0120,Värmdö,41-50,Male,Tertiary 2yr+,761.2
0120,Värmdö,41-50,Male,Tertiary <2yr,549.2
0120,Värmdö,41-50,Male,Upper secondary,1178.2
0120,Värmdö,51-60,Female,Postgraduate,42.2
0120,Värmdö,51-60,Female,Primary 9-10yr,158.7
0120,Värmdö,51-60,Female,Primary <9yr,39.1
0120,Värmdö,51-60,Female,Tertiary 2yr+,1207.5
0120,Värmdö,51-60,Female,Tertiary <2yr,598.6
0120,Värmdö,51-60,Female,Upper secondary,1394.3
0120,Värmdö,51-60,Male,Postgraduate,28.6
0120,Värmdö,51-60,Male,Primary 9-10yr,321.2
0120,Värmdö,51-60,Male,Primary <9yr,22.6
0120,Värmdö,51-60,Male,Tertiary 2yr+,753.1
0120,Värmdö,51-60,Male,Tertiary <2yr,602.6
0120,Värmdö,51-60,Male,Upper secondary,1501.7
0120,Värmdö,61-70,Female,Postgraduate,24.4
0120,Värmdö,61-70,Female,Primary 9-10yr,180.7
0120,Värmdö,61-70,Female,Primary <9yr,31.0
0120,Värmdö,61-70,Female,Tertiary 2yr+,577.5
0120,Värmdö,61-70,Female,Tertiary <2yr,462.6
0120,Värmdö,61-70,Female,Upper secondary,1115.3
0120,Värmdö,61-70,Male,Postgraduate,32.5
0120,Värmdö,61-70,Male,Primary 9-10yr,338.6
0120,Värmdö,61-70,Male,Primary <9yr,38.4
0120,Värmdö,61-70,Male,Tertiary 2yr+,457.3
0120,Värmdö,61-70,Male,Tertiary <2yr,469.5
0120,Värmdö,61-70,Male,Upper secondary,1181.2
0120,Värmdö,71-104,Female,Postgraduate,24.2
0120,Värmdö,71-104,Female,Primary 9-10yr,363.3
0120,Värmdö,71-104,Female,Primary <9yr,246.6
