StartDate,EndDate,Status,RecordedDate,res_attempts,res_city,res_audio,lang,consent_en,consent_followup_en,vote_2025_en,vote_2025_party_en,vote_2025_party_en_17_TEXT,vote_likelihood_en,vote_today_party_en,vote_today_party_en_18_TEXT,news_time_en,gender_en,gender_en_3_TEXT,birth_year_en,municipality_en_1,education_en,consent_nl,consent_followup_nl,vote_2025_nl,vote_2025_party_nl,vote_2025_party_nl_17_TEXT,vote_likelihood_nl,vote_today_party_nl,vote_today_party_nl_18_TEXT,news_time_nl,gender_nl,gender_nl_3_TEXT,birth_year_nl,municipality_nl_1,education_nl,res_interview_lang
2026-04-21 07:28:00,2026-04-21 08:08:33,IP Address,2026-04-21 08:08:34,0,Einhoven,NT004POL21042026,English,I consent to participate,yes,Yes,Volt,,7,Partij voor de Dieren (animal welfare party),,02:00,Male,,1959,Eindhoven,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,English
2026-04-21 08:20:37,2026-04-21 08:26:33,IP Address,2026-04-21 08:26:33,0,Eindhoven,SB07POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Nee,,,3,Blanco,,01:00,Man,,1997,Eindhoven,hbo,Dutch
2026-04-21 08:25:07,2026-04-21 08:41:24,IP Address,2026-04-21 08:41:24,2,Eindhoven ,SA007POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,CDA (Christen-Democratisch Appèl),,7,CDA (Christen-Democratisch Appèl),,01:00,Man,,1954,,hbo,English
2026-04-21 08:24:19,2026-04-21 09:32:01,IP Address,2026-04-21 09:32:01,3,Einhoven,NT005POL21042026,English,I consent to participate,yes,Yes,D66 (social-liberal party),,10,D66 (social-liberal party),,00:50,Male,,1999,Eindhoven,wo (university),,,,,,,,,,,,,,,English
2026-04-21 09:32:42,2026-04-21 09:36:13,IP Address,2026-04-21 09:36:14,0,Eindhoven ,SA008POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,00:30,Man,,2000,Eindhoven,wo,English
2026-04-21 09:26:13,2026-04-21 09:38:13,IP Address,2026-04-21 09:38:14,3,Eindhoven,SB08POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,Volt,,10,Volt,,02:00,Man,,2000,Eindhoven,wo,Dutch
2026-04-21 09:44:08,2026-04-21 09:48:49,IP Address,2026-04-21 09:48:49,0,Einhoven,NT006POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,Ik weet het niet,,00:20,Vrouw,,2004,Eindhoven,havo/vwo,English
2026-04-22 03:24:09,2026-04-22 03:29:14,IP Address,2026-04-22 03:29:14,4,Lelystad,NT001POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,00:15,Vrouw,,1978,Lelystad,hbo,English
2026-04-22 03:24:28,2026-04-22 03:32:58,IP Address,2026-04-22 03:32:58,3,Lelystadt,MM001POL22042026,English,I consent to participate,yes,No,,,3,I would not vote,,03:00,Female,,1973,Lelystad,wo (university),,,,,,,,,,,,,,,English
2026-04-22 02:06:38,2026-04-22 03:36:10,IP Address,2026-04-22 03:36:11,2,Lelystad,WX001POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,D66 (Democraten 66),,9,D66 (Democraten 66),,00:15,Vrouw,,1989,Alphen aan den Rijn,wo,Dutch
2026-04-22 02:03:47,2026-04-22 03:39:41,IP Address,2026-04-22 03:39:42,7,Lelystad,DJ001POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,PVV (Partij voor de Vrijheid),,8,Ik weet het niet,,00:15,Vrouw,,2002,Noordwijk,hbo,English
2026-04-22 04:07:38,2026-04-22 04:11:04,IP Address,2026-04-22 04:11:05,3,Lelystad,WX002POL22042026,English,I consent to participate,yes,Yes,D66 (social-liberal party),,10,GroenLinks (green party)-PvdA (labor party),,01:00,Male,,1993,Huizen,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,English
2026-04-22 04:20:55,2026-04-22 04:25:40,IP Address,2026-04-22 04:25:40,6,Lelystad,DJ002POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,00:45,Vrouw,,1970,Lelystad,wo,Dutch
2026-04-22 04:21:45,2026-04-22 04:29:21,IP Address,2026-04-22 04:29:21,3,Lelystad,MM002POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,D66 (Democraten 66),,10,CDA (Christen-Democratisch Appèl),,01:00,Vrouw,,1968,Heemstede,hbo,English
2026-04-22 04:42:29,2026-04-22 04:53:23,IP Address,2026-04-22 04:53:24,4,Lelystad,NT002PO?22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,VVD (Volkspartij voor Vrijheid en Democratie),,10,VVD (Volkspartij voor Vrijheid en Democratie),,01:30,Vrouw,,1954,Lelystad,anders,English
2026-04-22 04:47:09,2026-04-22 04:53:38,IP Address,2026-04-22 04:53:38,0,Lelystad,DJ003POL22042026,English,I consent to participate,yes,Yes,GroenLinks (green party)-PvdA (labor party),,10,GroenLinks (green party)-PvdA (labor party),,00:30,Male,,1989,Zwolle,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,Dutch
2026-04-22 04:47:28,2026-04-22 04:54:13,IP Address,2026-04-22 04:54:14,0,Lelystad,MM003POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,00:30,Vrouw,,1993,Amsterdam,wo,English
2026-04-22 05:04:44,2026-04-22 05:13:31,IP Address,2026-04-22 05:13:32,0,Lelystad,NT003POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,CDA (Christen-Democratisch Appèl),,10,CDA (Christen-Democratisch Appèl),,00:40,Vrouw,,1950,Lelystad,hbo,Dutch
2026-04-22 05:09:55,2026-04-22 05:14:15,IP Address,2026-04-22 05:14:15,0,Lelystad,MM004APP22042026,English,I consent to participate,no,Yes,GroenLinks (green party)-PvdA (labor party),,10,GroenLinks (green party)-PvdA (labor party),,02:00,Male,,1995,Lelystad,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-22 05:07:52,2026-04-22 05:14:40,IP Address,2026-04-22 05:14:40,0,Lelystad,DJ004POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ik was niet stemgerechtigd,,,10,JA21 (Juiste Antwoord21),,02:00,Man,,2007,Lelystad,havo/vwo,English
2026-04-22 05:18:14,2026-04-22 05:26:59,IP Address,2026-04-22 05:26:59,8,LELYSTAD,WX003POL22032026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,01:00,Vrouw,,1974,Lelystad,Ik wil het niet zeggen,
2026-04-22 05:33:14,2026-04-22 05:39:11,IP Address,2026-04-22 05:39:11,0,Lelystad,MM004POL22042026,English,I consent to participate,no,Yes,D66 (social-liberal party),,9,D66 (social-liberal party),,02:00,Female,,1969,Amstelveen,wo (university),,,,,,,,,,,,,,,English
2026-04-22 05:31:45,2026-04-22 05:41:13,IP Address,2026-04-22 05:41:14,1,Lelystad,DJ005POL22042026,English,I consent to participate,yes,Yes,GroenLinks (green party)-PvdA (labor party),,5,I don’t know,,02:30,Female,,1999,Hattem,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-22 05:57:21,2026-04-22 06:03:29,IP Address,2026-04-22 06:03:30,0,Lelystad,DJ006POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,VVD (Volkspartij voor Vrijheid en Democratie),,10,Ik weet het niet,,00:20,Man,,1993,Huizen,hbo,English
2026-04-22 06:03:14,2026-04-22 06:07:20,IP Address,2026-04-22 06:07:20,0,Lelystad,MM006APP22042026,English,I consent to participate,yes,Yes,CDA (Christian democrat party),,8,I don’t know,,01:00,Female,,1987,Lelystad,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,English
2026-04-22 06:01:38,2026-04-22 06:09:49,IP Address,2026-04-22 06:09:49,19,Lelystad,WX003POL22032026,English,I consent to participate,no,No,,,7,Partij voor de Dieren (animal welfare party),,01:00,Male,,1983,Lelystad,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,English
2026-04-22 05:22:43,2026-04-22 06:15:50,IP Address,2026-04-22 06:15:51,0,Lelystad,NT004POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Nee,,,6,VVD (Volkspartij voor Vrijheid en Democratie),,02:00,Man,,1985,Lelystad,havo/vwo,English
2026-04-22 06:18:31,2026-04-22 06:21:52,IP Address,2026-04-22 06:21:52,0,Lelystad,DJ007POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,D66 (Democraten 66),,10,GroenLinks-PvdA,,03:00,Vrouw,,2003,Kampen,hbo,English
2026-04-22 06:29:41,2026-04-22 06:32:41,IP Address,2026-04-22 06:32:41,0,Lelystad,NT001APP22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Nee,,,6,VVD (Volkspartij voor Vrijheid en Democratie),,02:00,Man,,1985,Lelystad,havo/vwo,English
2026-04-22 06:32:47,2026-04-22 07:29:23,IP Address,2026-04-22 07:29:24,2,Lelystad,NT005POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,8,GroenLinks-PvdA,,00:30,Man,,1957,Lelystad,hbo,English
2026-04-22 07:46:07,2026-04-22 07:49:30,IP Address,2026-04-22 07:49:30,0,Lelystad,NT006POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,PVV (Partij voor de Vrijheid),,10,PVV (Partij voor de Vrijheid),,00:15,Man,,1973,Lelystad,hbo,Dutch
2026-04-22 07:56:09,2026-04-22 07:59:23,IP Address,2026-04-22 07:59:24,0,Lelystad,NT007POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,02:00,Man,,1962,Lelystad,hbo,Dutch
2026-04-22 08:06:10,2026-04-22 08:13:05,IP Address,2026-04-22 08:13:06,0,Lelystad,NT008POL22042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,CDA (Christen-Democratisch Appèl),,10,CDA (Christen-Democratisch Appèl),,03:00,Vrouw,,1950,Lelystad,mbo,Dutch
