draw,party,share
60,M: Moderaterne,0.09293749486572334
60,I: Liberal Alliance,0.07000361443423829
60,Æ: Danmarksdemokraterne,0.06739630966696065
60,Other,0.021725623173390215
61,Did not vote,0.04442389471982418
61,A: Socialdemokratiet,0.21998853616654104
61,Other - Left,0.12988415929191782
61,V: Venstre,0.13069201706717232
61,F: SF - Socialistisk Folkeparti,0.10248553239327145
61,Other - Right,0.10684892664401043
61,M: Moderaterne,0.10390296503822899
61,I: Liberal Alliance,0.06437379783780163
61,Æ: Danmarksdemokraterne,0.07218753396001769
61,Other,0.025212636881218768
62,Did not vote,0.04112594466639306
62,A: Socialdemokratiet,0.2584340972980316
62,Other - Left,0.13365586936561846
62,V: Venstre,0.11937273699301917
62,F: SF - Socialistisk Folkeparti,0.09553087135627164
62,Other - Right,0.10042808865228439
62,M: Moderaterne,0.08910820678244671
62,I: Liberal Alliance,0.07285605600975742
62,Æ: Danmarksdemokraterne,0.061354140464646434
62,Other,0.02813398841153849
63,Did not vote,0.0444533372521344
63,A: Socialdemokratiet,0.2599550593566899
63,Other - Left,0.14269164809544763
63,V: Venstre,0.11324807939046135
63,F: SF - Socialistisk Folkeparti,0.09896358101409627
63,Other - Right,0.08504947488283503
63,M: Moderaterne,0.08958747827798065
63,I: Liberal Alliance,0.07742870434449116
63,Æ: Danmarksdemokraterne,0.06646696215280788
63,Other,0.022155675233059863
64,Did not vote,0.04501783910088973
64,A: Socialdemokratiet,0.23971028617694787
64,Other - Left,0.13614716819731645
64,V: Venstre,0.14238977766701516
64,F: SF - Socialistisk Folkeparti,0.09479443460810548
64,Other - Right,0.09302167569333859
64,M: Moderaterne,0.09723251718686728
64,I: Liberal Alliance,0.05818200733275538
64,Æ: Danmarksdemokraterne,0.06599798300138757
64,Other,0.02750631103538271
65,Did not vote,0.04633911881600906
65,A: Socialdemokratiet,0.22930206269470207
65,Other - Left,0.12653452790406094
65,V: Venstre,0.11003245018619225
65,F: SF - Socialistisk Folkeparti,0.10757480569431754
65,Other - Right,0.11200561373436724
65,M: Moderaterne,0.09455363690690773
65,I: Liberal Alliance,0.07598198443366075
65,Æ: Danmarksdemokraterne,0.07470265896162342
65,Other,0.02297314066816266
66,Did not vote,0.04565186507026615
66,A: Socialdemokratiet,0.24724223143309482
66,Other - Left,0.1331317900000565
66,V: Venstre,0.11919835481336846
66,F: SF - Socialistisk Folkeparti,0.10001767542290621
66,Other - Right,0.10775367347670001
66,M: Moderaterne,0.08172139581105875
66,I: Liberal Alliance,0.05657045258873511
66,Æ: Danmarksdemokraterne,0.07859513809624474
66,Other,0.03011742328757352
67,Did not vote,0.04769574370576709
67,A: Socialdemokratiet,0.23096869494059233
67,Other - Left,0.14390606459369046
67,V: Venstre,0.1333359351122142
67,F: SF - Socialistisk Folkeparti,0.08828174521538919
67,Other - Right,0.10532275994571848
67,M: Moderaterne,0.0789331946265724
67,I: Liberal Alliance,0.07459801072504543
67,Æ: Danmarksdemokraterne,0.06858177537741188
67,Other,0.028376075757600087
68,Did not vote,0.04253787358019364
68,A: Socialdemokratiet,0.2235017886586611
68,Other - Left,0.13784866932056292
68,V: Venstre,0.1310817364102037
68,F: SF - Socialistisk Folkeparti,0.10926217562832193
68,Other - Right,0.1018926487086787
68,M: Moderaterne,0.10233679942094484
68,I: Liberal Alliance,0.06309122289741027
68,Æ: Danmarksdemokraterne,0.06641659386758374
68,Other,0.02203049150744473
69,Did not vote,0.04361009529041866
69,A: Socialdemokratiet,0.22387653615995318
69,Other - Left,0.12969590693141572
69,V: Venstre,0.1341643517257135
69,F: SF - Socialistisk Folkeparti,0.10664380130791991
