municipality,party,expected_N,total_N,point_estimate
Albertslund,Other - Right,1426.6952332568403,17762.999999999993,0.08031837151702083
Albertslund,V: Venstre,1285.4669899366113,17762.999999999993,0.0723676738127913
Albertslund,Æ: Danmarksdemokraterne,989.9054993788291,17762.999999999993,0.05572850866288518
Allerød,A: Socialdemokratiet,4280.260937059453,17904.999999999996,0.2390539478949709
Allerød,Did not vote,519.9092962532629,17904.999999999996,0.029037101159076404
Allerød,F: SF - Socialistisk Folkeparti,1947.0047541712447,17904.999999999996,0.10874084078029853
Allerød,I: Liberal Alliance,1001.0677089278247,17904.999999999996,0.05590995302584892
Allerød,M: Moderaterne,1939.1800130784172,17904.999999999996,0.10830382647743186
Allerød,Other,329.5101384874647,17904.999999999996,0.018403247053195463
Allerød,Other - Left,2334.593982524118,17904.999999999996,0.13038782365395804
Allerød,Other - Right,2222.148403202453,17904.999999999996,0.12410770193814318
Allerød,V: Venstre,2739.987474109017,17904.999999999996,0.15302918034677562
Allerød,Æ: Danmarksdemokraterne,591.3372921867451,17904.999999999996,0.033026377670301324
Assens,A: Socialdemokratiet,9880.9655569296865,29326.99999999999,0.3369238434524394
Assens,Did not vote,1311.3477971677273,29326.99999999999,0.044714692848492096
Assens,F: SF - Socialistisk Folkeparti,2015.1625679738138,29326.99999999999,0.0687135597904257
Assens,I: Liberal Alliance,2228.2081542413007,29326.99999999999,0.07597804597269757
Assens,M: Moderaterne,2784.818517214805,29326.99999999999,0.09495749709192233
Assens,Other,585.3028923124308,29326.99999999999,0.019957816766543835
Assens,Other - Left,2039.8677328825054,29326.99999999999,0.06955596320395901
Assens,Other - Right,3049.4701208780834,29326.99999999999,0.10398165925181861
Assens,V: Venstre,3222.435769120358,29326.99999999999,0.10987948883692022
Assens,Æ: Danmarksdemokraterne,2209.420891279299,29326.99999999999,0.07533743278478194
Ballerup,A: Socialdemokratiet,10206.173919961471,34624.00000000003,0.29477165896376684
Ballerup,Did not vote,1566.5395798623163,34624.00000000003,0.0452443270524005
Ballerup,F: SF - Socialistisk Folkeparti,3449.6940540167134,34624.00000000003,0.09963303067284862
Ballerup,I: Liberal Alliance,2814.476451891886,34624.00000000003,0.08128686610131364
Ballerup,M: Moderaterne,2567.3796399094613,34624.00000000003,0.0741502899696586
Ballerup,Other,1265.421059574061,34624.00000000003,0.03654751211801236
Ballerup,Other - Left,3836.7681257841227,34624.00000000003,0.11081238810605705
Ballerup,Other - Right,3782.9346045385023,34624.00000000003,0.1092575844656452
Ballerup,V: Venstre,3143.6659622621337,34624.00000000003,0.09079441896551903
Ballerup,Æ: Danmarksdemokraterne,1990.946602199341,34624.00000000003,0.05750192358477759
Billund,A: Socialdemokratiet,4903.137325941733,17752.000000000007,0.27620196743700604
Billund,Did not vote,850.2254673685859,17752.000000000007,0.04789462975262424
Billund,F: SF - Socialistisk Folkeparti,991.5091656763815,17752.000000000007,0.05585337796734909
Billund,I: Liberal Alliance,1660.3927059944167,17752.000000000007,0.09353271214479586
Billund,M: Moderaterne,1459.4882120047585,17752.000000000007,0.08221542429048884
Billund,Other,386.5827411126402,17752.000000000007,0.02177685562824696
Billund,Other - Left,1142.5705154438,17752.000000000007,0.06436291772441413
Billund,Other - Right,1957.6559369905938,17752.000000000007,0.110278049627681
Billund,V: Venstre,2904.0353398504863,17752.000000000007,0.16358919219527293
Billund,Æ: Danmarksdemokraterne,1496.402589616604,17752.000000000007,0.08429487323212051
Bornholm,A: Socialdemokratiet,10103.358787612175,29052.000000000004,0.3477680981554514
Bornholm,Did not vote,1375.5635628894208,29052.000000000004,0.0473483258601618
Bornholm,F: SF - Socialistisk Folkeparti,1603.4504436797067,29052.000000000004,0.055192428875110375
Bornholm,I: Liberal Alliance,1768.3587603771073,29052.000000000004,0.060868744333509125
