municipality,party,pct
Hallstahammar,Social Democrats (S),0.3503959032244674
Hallstahammar,Sweden Democrats (SD),0.27612551793534307
Hallstahammar,The Liberals (L),0.029163691113912385
Halmstad,Centre Party (C),0.060572277891165774
Halmstad,Christian Democrats (KD),0.05531525156027632
Halmstad,Green Party (MP),0.04184121743049384
Halmstad,Left Party (V),0.048379654474903375
Halmstad,Moderate Party (M),0.20404030763852746
Halmstad,Other party,0.015256054151642445
Halmstad,Social Democrats (S),0.3161483283788903
Halmstad,Sweden Democrats (SD),0.21433136946412817
Halmstad,The Liberals (L),0.044115539009972365
Hammarö,Centre Party (C),0.06899716774774863
Hammarö,Christian Democrats (KD),0.05159625078450091
Hammarö,Green Party (MP),0.046270015752228874
Hammarö,Left Party (V),0.0333258200121105
Hammarö,Moderate Party (M),0.20112974890232393
Hammarö,Other party,0.009596095531821888
Hammarö,Social Democrats (S),0.37413608421770145
Hammarö,Sweden Democrats (SD),0.15984373534842747
Hammarö,The Liberals (L),0.05510508170313638
Haninge,Centre Party (C),0.0533677476871262
Haninge,Christian Democrats (KD),0.042546085086634586
Haninge,Green Party (MP),0.04278836304595901
Haninge,Left Party (V),0.07093702792364365
Haninge,Moderate Party (M),0.20463231210706934
Haninge,Other party,0.022626401944272286
Haninge,Social Democrats (S),0.29899035684352276
Haninge,Sweden Democrats (SD),0.22434542103942204
Haninge,The Liberals (L),0.03976628432235012
Haparanda,Centre Party (C),0.061162609618810815
Haparanda,Christian Democrats (KD),0.05133571464528623
Haparanda,Green Party (MP),0.02867022101823676
Haparanda,Left Party (V),0.03776461810388399
Haparanda,Moderate Party (M),0.12955698404200286
Haparanda,Other party,0.01093064860906131
Haparanda,Social Democrats (S),0.36297152763351925
Haparanda,Sweden Democrats (SD),0.2997965802556015
Haparanda,The Liberals (L),0.017811096073597207
Heby,Centre Party (C),0.07975682159797537
Heby,Christian Democrats (KD),0.08291078341971407
Heby,Green Party (MP),0.032100209419548956
Heby,Left Party (V),0.04815964612280765
Heby,Moderate Party (M),0.14623452100849904
Heby,Other party,0.016776817269392875
Heby,Social Democrats (S),0.2774232216479758
Heby,Sweden Democrats (SD),0.2920704261981717
Heby,The Liberals (L),0.02456755331591464
Hedemora,Centre Party (C),0.06283632277382521
Hedemora,Christian Democrats (KD),0.0622380862389851
Hedemora,Green Party (MP),0.039098990202897685
Hedemora,Left Party (V),0.0552740358633605
Hedemora,Moderate Party (M),0.1574678291994858
Hedemora,Other party,0.017808645642685004
Hedemora,Social Democrats (S),0.29685103229572896
Hedemora,Sweden Democrats (SD),0.28715410964024335
Hedemora,The Liberals (L),0.02127094814278834
Helsingborg,Centre Party (C),0.04968528212831004
Helsingborg,Christian Democrats (KD),0.045414489204642326
Helsingborg,Green Party (MP),0.04031943015463523
Helsingborg,Left Party (V),0.04999964495820562
Helsingborg,Moderate Party (M),0.21186156350445437
Helsingborg,Other party,0.01824189608174947
Helsingborg,Social Democrats (S),0.2808399358821637
Helsingborg,Sweden Democrats (SD),0.2592660675549718
Helsingborg,The Liberals (L),0.04437169053086739
Hjo,Centre Party (C),0.06653133618554773
Hjo,Christian Democrats (KD),0.09477702414155878
Hjo,Green Party (MP),0.046331546855786915
