"Population per month by sex, month, region and age"

"sex","month","region","total, all ages"
"total, all men and women","2025M12","2026 Gagnef",10307
"total, all men and women","2025M12","2029 Leksand",16167
"total, all men and women","2025M12","2031 Rättvik",10978
"total, all men and women","2025M12","2034 Orsa",6902
"total, all men and women","2025M12","2039 Älvdalen",6831
"total, all men and women","2025M12","2061 Smedjebacken",10758
"total, all men and women","2025M12","2062 Mora",20419
"total, all men and women","2025M12","2080 Falun",59974
"total, all men and women","2025M12","2081 Borlänge",51354
"total, all men and women","2025M12","2082 Säter",11222
"total, all men and women","2025M12","2083 Hedemora",15025
"total, all men and women","2025M12","2084 Avesta",22366
"total, all men and women","2025M12","2085 Ludvika",26812
"total, all men and women","2025M12","2101 Ockelbo",5715
"total, all men and women","2025M12","2104 Hofors",9138
"total, all men and women","2025M12","2121 Ovanåker",11272
"total, all men and women","2025M12","2132 Nordanstig",9284
"total, all men and women","2025M12","2161 Ljusdal",18377
"total, all men and women","2025M12","2180 Gävle",104108
"total, all men and women","2025M12","2181 Sandviken",38033
"total, all men and women","2025M12","2182 Söderhamn",24163
"total, all men and women","2025M12","2183 Bollnäs",26018
"total, all men and women","2025M12","2184 Hudiksvall",37341
"total, all men and women","2025M12","2260 Ånge",9000
"total, all men and women","2025M12","2262 Timrå",17465
"total, all men and women","2025M12","2280 Härnösand",24348
"total, all men and women","2025M12","2281 Sundsvall",98962
"total, all men and women","2025M12","2282 Kramfors",17390
"total, all men and women","2025M12","2283 Sollefteå",18138
"total, all men and women","2025M12","2284 Örnsköldsvik",55338
"total, all men and women","2025M12","2303 Ragunda",5152
"total, all men and women","2025M12","2305 Bräcke",5950
"total, all men and women","2025M12","2309 Krokom",15795
"total, all men and women","2025M12","2313 Strömsund",10904
"total, all men and women","2025M12","2321 Åre",12770
"total, all men and women","2025M12","2326 Berg",7085
"total, all men and women","2025M12","2361 Härjedalen",10117
"total, all men and women","2025M12","2380 Östersund",64963
"total, all men and women","2025M12","2401 Nordmaling",6905
"total, all men and women","2025M12","2403 Bjurholm",2327
"total, all men and women","2025M12","2404 Vindeln",5421
"total, all men and women","2025M12","2409 Robertsfors",6595
"total, all men and women","2025M12","2417 Norsjö",3811
"total, all men and women","2025M12","2418 Malå",2902
"total, all men and women","2025M12","2421 Storuman",5543
"total, all men and women","2025M12","2422 Sorsele",2362
"total, all men and women","2025M12","2425 Dorotea",2241
"total, all men and women","2025M12","2460 Vännäs",9225
"total, all men and women","2025M12","2462 Vilhelmina",6172
"total, all men and women","2025M12","2463 Åsele",2683
"total, all men and women","2025M12","2480 Umeå",135273
"total, all men and women","2025M12","2481 Lycksele",12159
"total, all men and women","2025M12","2482 Skellefteå",75405
"total, all men and women","2025M12","2505 Arvidsjaur",6026
"total, all men and women","2025M12","2506 Arjeplog",2570
"total, all men and women","2025M12","2510 Jokkmokk",4695
"total, all men and women","2025M12","2513 Överkalix",3183
"total, all men and women","2025M12","2514 Kalix",15252
"total, all men and women","2025M12","2518 Övertorneå",3995
"total, all men and women","2025M12","2521 Pajala",5706
"total, all men and women","2025M12","2523 Gällivare",17135
"total, all men and women","2025M12","2560 Älvsbyn",7815
"total, all men and women","2025M12","2580 Luleå",80304
"total, all men and women","2025M12","2581 Piteå",42184
"total, all men and women","2025M12","2582 Boden",28624
"total, all men and women","2025M12","2583 Haparanda",9027
"total, all men and women","2025M12","2584 Kiruna",22402
