municipality_code,municipality,age_group,gender,education_level,N
0117,Österåker,23-30,Men,"Tertiary education, 2 years or longer",140.0
0117,Österåker,23-30,Men,"Tertiary education, shorter than 2 years",157.1
0117,Österåker,23-30,Men,Upper secondary school,449.3
0117,Österåker,23-30,Women,Postgraduate education,2.3
0117,Österåker,23-30,Women,"Primary school, 9/10 years",38.2
0117,Österåker,23-30,Women,"Primary school, shorter than 9 years",4.2
0117,Österåker,23-30,Women,"Tertiary education, 2 years or longer",273.9
0117,Österåker,23-30,Women,"Tertiary education, shorter than 2 years",159.5
0117,Österåker,23-30,Women,Upper secondary school,268.3
0117,Österåker,31-40,Men,Postgraduate education,25.2
0117,Österåker,31-40,Men,"Primary school, 9/10 years",221.9
0117,Österåker,31-40,Men,"Primary school, shorter than 9 years",30.9
0117,Österåker,31-40,Men,"Tertiary education, 2 years or longer",647.1
0117,Österåker,31-40,Men,"Tertiary education, shorter than 2 years",525.6
0117,Österåker,31-40,Men,Upper secondary school,1288.8
0117,Österåker,31-40,Women,Postgraduate education,29.4
0117,Österåker,31-40,Women,"Primary school, 9/10 years",128.9
0117,Österåker,31-40,Women,"Primary school, shorter than 9 years",26.7
0117,Österåker,31-40,Women,"Tertiary education, 2 years or longer",1280.3
0117,Österåker,31-40,Women,"Tertiary education, shorter than 2 years",581.5
0117,Österåker,31-40,Women,Upper secondary school,924.6
0117,Österåker,41-50,Men,Postgraduate education,47.6
0117,Österåker,41-50,Men,"Primary school, 9/10 years",221.2
0117,Österåker,41-50,Men,"Primary school, shorter than 9 years",36.6
0117,Österåker,41-50,Men,"Tertiary education, 2 years or longer",830.8
0117,Österåker,41-50,Men,"Tertiary education, shorter than 2 years",541.3
0117,Österåker,41-50,Men,Upper secondary school,1286.9
0117,Österåker,41-50,Women,Postgraduate education,49.7
0117,Österåker,41-50,Women,"Primary school, 9/10 years",113.7
0117,Österåker,41-50,Women,"Primary school, shorter than 9 years",36.7
0117,Österåker,41-50,Women,"Tertiary education, 2 years or longer",1314.4
0117,Österåker,41-50,Women,"Tertiary education, shorter than 2 years",499.8
0117,Österåker,41-50,Women,Upper secondary school,937.0
0117,Österåker,51-60,Men,Postgraduate education,54.7
0117,Österåker,51-60,Men,"Primary school, 9/10 years",287.5
0117,Österåker,51-60,Men,"Primary school, shorter than 9 years",33.8
0117,Österåker,51-60,Men,"Tertiary education, 2 years or longer",763.4
0117,Österåker,51-60,Men,"Tertiary education, shorter than 2 years",622.3
0117,Österåker,51-60,Men,Upper secondary school,1585.6
0117,Österåker,51-60,Women,Postgraduate education,49.7
0117,Österåker,51-60,Women,"Primary school, 9/10 years",154.5
0117,Österåker,51-60,Women,"Primary school, shorter than 9 years",41.3
0117,Österåker,51-60,Women,"Tertiary education, 2 years or longer",1130.3
0117,Österåker,51-60,Women,"Tertiary education, shorter than 2 years",574.7
0117,Österåker,51-60,Women,Upper secondary school,1399.9
0117,Österåker,61-70,Men,Postgraduate education,40.0
0117,Österåker,61-70,Men,"Primary school, 9/10 years",276.2
0117,Österåker,61-70,Men,"Primary school, shorter than 9 years",24.2
0117,Österåker,61-70,Men,"Tertiary education, 2 years or longer",438.7
0117,Österåker,61-70,Men,"Tertiary education, shorter than 2 years",444.1
0117,Österåker,61-70,Men,Upper secondary school,1086.9
0117,Österåker,61-70,Women,Postgraduate education,21.7
0117,Österåker,61-70,Women,"Primary school, 9/10 years",151.2
0117,Österåker,61-70,Women,"Primary school, shorter than 9 years",24.6
0117,Österåker,61-70,Women,"Tertiary education, 2 years or longer",541.3
0117,Österåker,61-70,Women,"Tertiary education, shorter than 2 years",427.9
0117,Österåker,61-70,Women,Upper secondary school,1061.2
0117,Österåker,71-104,Men,Postgraduate education,73.9
0117,Österåker,71-104,Men,"Primary school, 9/10 years",341.9
0117,Österåker,71-104,Men,"Primary school, shorter than 9 years",272.6
0117,Österåker,71-104,Men,"Tertiary education, 2 years or longer",556.1
0117,Österåker,71-104,Men,"Tertiary education, shorter than 2 years",408.7
0117,Österåker,71-104,Men,Upper secondary school,1355.8
0117,Österåker,71-104,Women,Postgraduate education,32.1
0117,Österåker,71-104,Women,"Primary school, 9/10 years",335.0
0117,Österåker,71-104,Women,"Primary school, shorter than 9 years",282.1
0117,Österåker,71-104,Women,"Tertiary education, 2 years or longer",658.5
0117,Österåker,71-104,Women,"Tertiary education, shorter than 2 years",562.3
0117,Österåker,71-104,Women,Upper secondary school,1576.7
0120,Värmdö,18-22,Men,"Primary school, 9/10 years",1233.0
0120,Värmdö,18-22,Men,"Primary school, shorter than 9 years",5.2
0120,Värmdö,18-22,Men,"Tertiary education, 2 years or longer",32.7
0120,Värmdö,18-22,Men,"Tertiary education, shorter than 2 years",174.2
0120,Värmdö,18-22,Men,Upper secondary school,1080.1
0120,Värmdö,18-22,Women,"Primary school, 9/10 years",1072.8
0120,Värmdö,18-22,Women,"Primary school, shorter than 9 years",1.1
0120,Värmdö,18-22,Women,"Tertiary education, 2 years or longer",56.8
0120,Värmdö,18-22,Women,"Tertiary education, shorter than 2 years",179.8
